iTOW,qzssTow,fQzssTow,qzssWno,leapS,qzssTowValid,qzssWnoValid,leapSValid,tAcc
94496900,94497,-99636196,2390,18,1,1,1,2
94497000,94497,363783,2390,18,1,1,1,2
94497100,94497,100363762,2390,18,1,1,1,2
94497200,94497,200363740,2390,18,1,1,1,2
94497300,94497,300363719,2390,18,1,1,1,2
94497400,94497,400363698,2390,18,1,1,1,2
94497500,94498,-499636323,2390,18,1,1,1,2
94497600,94498,-399636344,2390,18,1,1,1,2
94497700,94498,-299636365,2390,18,1,1,1,2
94497800,94498,-199636386,2390,18,1,1,1,2
94497900,94498,-99636408,2390,18,1,1,1,2
94498000,94498,363571,2390,18,1,1,1,2
94498100,94498,100363550,2390,18,1,1,1,2
94498200,94498,200363529,2390,18,1,1,1,2
94498300,94498,300363508,2390,18,1,1,1,2
94498400,94498,400363487,2390,18,1,1,1,2
94498500,94499,-499636534,2390,18,1,1,1,2
94498600,94499,-399636556,2390,18,1,1,1,2
94498700,94499,-299636577,2390,18,1,1,1,2
94498800,94499,-199636598,2390,18,1,1,1,2
94498900,94499,-99636619,2390,18,1,1,1,2
94499000,94499,363359,2390,18,1,1,1,2
94499100,94499,100363337,2390,18,1,1,1,2
94499200,94499,200363316,2390,18,1,1,1,2
94499300,94499,300363296,2390,18,1,1,1,2
94499400,94499,400363275,2390,18,1,1,1,2
94499500,94500,-499636747,2390,18,1,1,1,2
94499600,94500,-399636768,2390,18,1,1,1,2
94499700,94500,-299636789,2390,18,1,1,1,2
94499800,94500,-199636810,2390,18,1,1,1,2
94499900,94500,-99636831,2390,18,1,1,1,2
94500000,94500,363147,2390,18,1,1,1,2
94500100,94500,100363126,2390,18,1,1,1,2
94500200,94500,200363105,2390,18,1,1,1,2
94500300,94500,300363084,2390,18,1,1,1,2
94500400,94500,400363063,2390,18,1,1,1,2
94500500,94501,-499636958,2390,18,1,1,1,2
94500600,94501,-399636979,2390,18,1,1,1,2
94500700,94501,-299637000,2390,18,1,1,1,2
94500800,94501,-199637021,2390,18,1,1,1,2
94500900,94501,-99637043,2390,18,1,1,1,2
94501000,94501,362936,2390,18,1,1,1,2
94501100,94501,100362915,2390,18,1,1,1,2
94501200,94501,200362893,2390,18,1,1,1,2
94501300,94501,300362872,2390,18,1,1,1,2
94501400,94501,400362851,2390,18,1,1,1,2
94501500,94502,-499637170,2390,18,1,1,1,2
94501600,94502,-399637191,2390,18,1,1,1,2
94501700,94502,-299637212,2390,18,1,1,1,2
94501800,94502,-199637234,2390,18,1,1,1,2
94501900,94502,-99637255,2390,18,1,1,1,2
94502000,94502,362723,2390,18,1,1,1,2
94502100,94502,100362707,2390,18,1,1,1,5
94502200,94502,200362685,2390,18,1,1,1,4
94502300,94502,300362663,2390,18,1,1,1,3
94502400,94502,400362642,2390,18,1,1,1,3
94502500,94503,-499637379,2390,18,1,1,1,3
94502600,94503,-399637401,2390,18,1,1,1,3
94502700,94503,-299637422,2390,18,1,1,1,3
94502800,94503,-199637443,2390,18,1,1,1,2
94502900,94503,-99637465,2390,18,1,1,1,2
94503000,94503,362514,2390,18,1,1,1,2
94503100,94503,100362493,2390,18,1,1,1,2
94503200,94503,200362472,2390,18,1,1,1,2
94503300,94503,300362450,2390,18,1,1,1,2
94503400,94503,400362429,2390,18,1,1,1,2
94503500,94504,-499637592,2390,18,1,1,1,2
94503600,94504,-399637613,2390,18,1,1,1,2
94503700,94504,-299637634,2390,18,1,1,1,2
94503800,94504,-199637655,2390,18,1,1,1,2
94503900,94504,-99637676,2390,18,1,1,1,2
94504000,94504,362303,2390,18,1,1,1,2
94504100,94504,100362281,2390,18,1,1,1,2
94504200,94504,200362260,2390,18,1,1,1,2
94504300,94504,300362239,2390,18,1,1,1,2
94504400,94504,400362218,2390,18,1,1,1,2
94504500,94505,-499637803,2390,18,1,1,1,2
94504600,94505,-399637825,2390,18,1,1,1,2
94504700,94505,-299637846,2390,18,1,1,1,2
94504800,94505,-199637867,2390,18,1,1,1,2
94504900,94505,-99637888,2390,18,1,1,1,2
94505000,94505,362090,2390,18,1,1,1,2
94505100,94505,100362069,2390,18,1,1,1,2
94505200,94505,200362048,2390,18,1,1,1,2
94505300,94505,300362027,2390,18,1,1,1,2
94505400,94505,400362006,2390,18,1,1,1,2
94505500,94506,-499638014,2390,18,1,1,1,2
94505600,94506,-399638035,2390,18,1,1,1,2
94505700,94506,-299638056,2390,18,1,1,1,2
94505800,94506,-199638077,2390,18,1,1,1,2
94505900,94506,-99638098,2390,18,1,1,1,2
94506000,94506,361881,2390,18,1,1,1,2
94506200,94506,200361839,2390,18,1,1,1,2
94506400,94506,400361798,2390,18,1,1,1,2
94506500,94507,-499638223,2390,18,1,1,1,2
94506600,94507,-399638244,2390,18,1,1,1,2
94506700,94507,-299638265,2390,18,1,1,1,2
94506800,94507,-199638286,2390,18,1,1,1,2
94506900,94507,-99638307,2390,18,1,1,1,2
94507000,94507,361671,2390,18,1,1,1,2
94507100,94507,100361650,2390,18,1,1,1,2
94507200,94507,200361629,2390,18,1,1,1,2
94507400,94507,400361587,2390,18,1,1,1,2
94507600,94508,-399638455,2390,18,1,1,1,2
94507700,94508,-299638476,2390,18,1,1,1,2
94507800,94508,-199638498,2390,18,1,1,1,2
94507900,94508,-99638519,2390,18,1,1,1,2
94508000,94508,361460,2390,18,1,1,1,2
94508100,94508,100361439,2390,18,1,1,1,2
94508200,94508,200361417,2390,18,1,1,1,2
94508300,94508,300361396,2390,18,1,1,1,2
94508400,94508,400361375,2390,18,1,1,1,2
94508500,94509,-499638647,2390,18,1,1,1,2
94508600,94509,-399638668,2390,18,1,1,1,2
94508700,94509,-299638689,2390,18,1,1,1,2
94508800,94509,-199638710,2390,18,1,1,1,2
94508900,94509,-99638731,2390,18,1,1,1,2
94509000,94509,361248,2390,18,1,1,1,2
94509200,94509,200361205,2390,18,1,1,1,2
94509400,94509,400361163,2390,18,1,1,1,2
94509600,94510,-399638880,2390,18,1,1,1,2
94509700,94510,-299638901,2390,18,1,1,1,2
94509900,94510,-99638944,2390,18,1,1,1,2
94510100,94510,100361014,2390,18,1,1,1,2
94510300,94510,300360971,2390,18,1,1,1,2
94510400,94510,400360950,2390,18,1,1,1,2
94510500,94511,-499639071,2390,18,1,1,1,2
94510600,94511,-399639093,2390,18,1,1,1,2
94510700,94511,-299639114,2390,18,1,1,1,2
94510800,94511,-199639136,2390,18,1,1,1,2
94510900,94511,-99639157,2390,18,1,1,1,2
94511000,94511,360822,2390,18,1,1,1,2
94511100,94511,100360801,2390,18,1,1,1,2
94511200,94511,200360779,2390,18,1,1,1,2
94511300,94511,300360758,2390,18,1,1,1,2
94511400,94511,400360737,2390,18,1,1,1,2
94511500,94512,-499639284,2390,18,1,1,1,2
94511600,94512,-399639305,2390,18,1,1,1,2
94511700,94512,-299639327,2390,18,1,1,1,2
94511900,94512,-99639369,2390,18,1,1,1,2
94512000,94512,360610,2390,18,1,1,1,2
94512200,94512,200360567,2390,18,1,1,1,2
94512300,94512,300360546,2390,18,1,1,1,2
94512400,94512,400360525,2390,18,1,1,1,2
94512600,94513,-399639517,2390,18,1,1,1,2
94512700,94513,-299639538,2390,18,1,1,1,2
94512900,94513,-99639581,2390,18,1,1,1,2
94513000,94513,360398,2390,18,1,1,1,2
94513200,94513,200360356,2390,18,1,1,1,2
94513300,94513,300360334,2390,18,1,1,1,2
94513400,94513,400360313,2390,18,1,1,1,2
94513500,94514,-499639708,2390,18,1,1,1,2
94513600,94514,-399639729,2390,18,1,1,1,2
94513700,94514,-299639750,2390,18,1,1,1,2
94513900,94514,-99639793,2390,18,1,1,1,2
94514000,94514,360186,2390,18,1,1,1,2
94514200,94514,200360144,2390,18,1,1,1,2
94514400,94514,400360101,2390,18,1,1,1,2
94514500,94515,-499639920,2390,18,1,1,1,2
94514700,94515,-299639962,2390,18,1,1,1,2
94514900,94515,-99640005,2390,18,1,1,1,2
94515000,94515,359974,2390,18,1,1,1,2
94515200,94515,200359932,2390,18,1,1,1,2
94515300,94515,300359910,2390,18,1,1,1,2
94515400,94515,400359889,2390,18,1,1,1,2
94515500,94516,-499640132,2390,18,1,1,1,2
94515700,94516,-299640174,2390,18,1,1,1,2
94515900,94516,-99640217,2390,18,1,1,1,2
94516000,94516,359762,2390,18,1,1,1,2
94516200,94516,200359720,2390,18,1,1,1,2
94516400,94516,400359677,2390,18,1,1,1,2
94516500,94517,-499640344,2390,18,1,1,1,2
94516600,94517,-399640366,2390,18,1,1,1,2
94516700,94517,-299640387,2390,18,1,1,1,2
94516800,94517,-199640408,2390,18,1,1,1,2
94516900,94517,-99640430,2390,18,1,1,1,2
94517100,94517,100359528,2390,18,1,1,1,2
94517300,94517,300359486,2390,18,1,1,1,2
94517400,94517,400359465,2390,18,1,1,1,2
94517500,94518,-499640557,2390,18,1,1,1,2
94517600,94518,-399640578,2390,18,1,1,1,2
94517700,94518,-299640599,2390,18,1,1,1,2
94517800,94518,-199640620,2390,18,1,1,1,2
94518000,94518,359337,2390,18,1,1,1,2
94518200,94518,200359295,2390,18,1,1,1,2
94518300,94518,300359274,2390,18,1,1,1,2
94518400,94518,400359252,2390,18,1,1,1,2
94518500,94519,-499640769,2390,18,1,1,1,2
94518600,94519,-399640790,2390,18,1,1,1,2
94518700,94519,-299640811,2390,18,1,1,1,2
94518800,94519,-199640833,2390,18,1,1,1,2
94518900,94519,-99640854,2390,18,1,1,1,2
94519000,94519,359125,2390,18,1,1,1,2
94519100,94519,100359104,2390,18,1,1,1,2
94519200,94519,200359083,2390,18,1,1,1,2
94519300,94519,300359062,2390,18,1,1,1,2
94519400,94519,400359040,2390,18,1,1,1,2
94519500,94520,-499640981,2390,18,1,1,1,2
94519600,94520,-399641002,2390,18,1,1,1,2
94519700,94520,-299641023,2390,18,1,1,1,2
94519800,94520,-199641044,2390,18,1,1,1,2
94519900,94520,-99641066,2390,18,1,1,1,2
94520000,94520,358913,2390,18,1,1,1,2
94520100,94520,100358892,2390,18,1,1,1,2
94520200,94520,200358871,2390,18,1,1,1,2
94520300,94520,300358849,2390,18,1,1,1,2
94520400,94520,400358828,2390,18,1,1,1,2
94520500,94521,-499641193,2390,18,1,1,1,2
94520600,94521,-399641214,2390,18,1,1,1,2
94520700,94521,-299641235,2390,18,1,1,1,2
94520800,94521,-199641256,2390,18,1,1,1,2
94520900,94521,-99641278,2390,18,1,1,1,2
94521000,94521,358701,2390,18,1,1,1,2
94521100,94521,100358680,2390,18,1,1,1,2
94521200,94521,200358659,2390,18,1,1,1,2
94521300,94521,300358637,2390,18,1,1,1,2
94521400,94521,400358616,2390,18,1,1,1,2
94521500,94522,-499641405,2390,18,1,1,1,2
94521600,94522,-399641426,2390,18,1,1,1,2
94521700,94522,-299641447,2390,18,1,1,1,2
94521800,94522,-199641468,2390,18,1,1,1,2
94521900,94522,-99641489,2390,18,1,1,1,2
94522000,94522,358490,2390,18,1,1,1,2
94522100,94522,100358469,2390,18,1,1,1,2
94522200,94522,200358448,2390,18,1,1,1,2
94522300,94522,300358426,2390,18,1,1,1,2
94522400,94522,400358405,2390,18,1,1,1,2
94522500,94523,-499641616,2390,18,1,1,1,2
94522600,94523,-399641637,2390,18,1,1,1,2
94522700,94523,-299641658,2390,18,1,1,1,2
94522800,94523,-199641679,2390,18,1,1,1,2
94522900,94523,-99641700,2390,18,1,1,1,2
94523000,94523,358279,2390,18,1,1,1,2
94523100,94523,100358258,2390,18,1,1,1,2
94523200,94523,200358237,2390,18,1,1,1,2
94523300,94523,300358216,2390,18,1,1,1,2
94523400,94523,400358195,2390,18,1,1,1,2
94523500,94524,-499641826,2390,18,1,1,1,2
94523600,94524,-399641847,2390,18,1,1,1,2
94523700,94524,-299641868,2390,18,1,1,1,2
94523800,94524,-199641889,2390,18,1,1,1,2
94523900,94524,-99641910,2390,18,1,1,1,2
94524000,94524,358069,2390,18,1,1,1,2
94524100,94524,100358048,2390,18,1,1,1,2
94524200,94524,200358027,2390,18,1,1,1,2
94524300,94524,300358006,2390,18,1,1,1,2
94524400,94524,400357985,2390,18,1,1,1,2
94524500,94525,-499642037,2390,18,1,1,1,2
94524600,94525,-399642058,2390,18,1,1,1,2
94524700,94525,-299642079,2390,18,1,1,1,2
94524800,94525,-199642100,2390,18,1,1,1,2
94524900,94525,-99642121,2390,18,1,1,1,2
94525000,94525,357857,2390,18,1,1,1,2
94525100,94525,100357835,2390,18,1,1,1,2
94525200,94525,200357814,2390,18,1,1,1,2
94525300,94525,300357793,2390,18,1,1,1,2
94525400,94525,400357772,2390,18,1,1,1,2
94525500,94526,-499642249,2390,18,1,1,1,2
94525600,94526,-399642270,2390,18,1,1,1,2
94525700,94526,-299642291,2390,18,1,1,1,2
94525800,94526,-199642312,2390,18,1,1,1,2
94525900,94526,-99642333,2390,18,1,1,1,2
94526000,94526,357646,2390,18,1,1,1,2
94526100,94526,100357625,2390,18,1,1,1,2
94526200,94526,200357604,2390,18,1,1,1,2
94526300,94526,300357583,2390,18,1,1,1,2
94526400,94526,400357562,2390,18,1,1,1,2
94526500,94527,-499642459,2390,18,1,1,1,2
94526600,94527,-399642481,2390,18,1,1,1,2
94526700,94527,-299642502,2390,18,1,1,1,2
94526800,94527,-199642523,2390,18,1,1,1,2
94526900,94527,-99642544,2390,18,1,1,1,2
94527000,94527,357435,2390,18,1,1,1,2
94527100,94527,100357414,2390,18,1,1,1,2
94527200,94527,200357393,2390,18,1,1,1,2
94527300,94527,300357372,2390,18,1,1,1,2
94527400,94527,400357350,2390,18,1,1,1,2
94527500,94528,-499642671,2390,18,1,1,1,2
94527600,94528,-399642692,2390,18,1,1,1,2
94527700,94528,-299642713,2390,18,1,1,1,2
94527800,94528,-199642734,2390,18,1,1,1,2
94527900,94528,-99642755,2390,18,1,1,1,2
94528000,94528,357224,2390,18,1,1,1,2
94528100,94528,100357203,2390,18,1,1,1,2
94528200,94528,200357182,2390,18,1,1,1,2
94528300,94528,300357161,2390,18,1,1,1,2
94528400,94528,400357140,2390,18,1,1,1,2
94528500,94529,-499642881,2390,18,1,1,1,2
94528600,94529,-399642903,2390,18,1,1,1,2
94528700,94529,-299642924,2390,18,1,1,1,2
94528800,94529,-199642945,2390,18,1,1,1,2
94528900,94529,-99642966,2390,18,1,1,1,2
94529000,94529,357013,2390,18,1,1,1,2
94529100,94529,100356992,2390,18,1,1,1,2
94529200,94529,200356971,2390,18,1,1,1,2
94529300,94529,300356950,2390,18,1,1,1,2
94529400,94529,400356929,2390,18,1,1,1,2
94529500,94530,-499643093,2390,18,1,1,1,2
94529600,94530,-399643114,2390,18,1,1,1,2
94529700,94530,-299643135,2390,18,1,1,1,2
94529800,94530,-199643156,2390,18,1,1,1,2
94529900,94530,-99643177,2390,18,1,1,1,2
94530000,94530,356802,2390,18,1,1,1,2
94530200,94530,200356759,2390,18,1,1,1,2
94530300,94530,300356738,2390,18,1,1,1,2
94530400,94530,400356717,2390,18,1,1,1,2
94530500,94531,-499643304,2390,18,1,1,1,2
94530600,94531,-399643325,2390,18,1,1,1,2
94530700,94531,-299643346,2390,18,1,1,1,2
94530800,94531,-199643367,2390,18,1,1,1,2
94530900,94531,-99643388,2390,18,1,1,1,2
94531000,94531,356590,2390,18,1,1,1,2
94531100,94531,100356569,2390,18,1,1,1,2
94531200,94531,200356548,2390,18,1,1,1,2
94531300,94531,300356527,2390,18,1,1,1,2
94531400,94531,400356506,2390,18,1,1,1,2
94531500,94532,-499643515,2390,18,1,1,1,2
94531600,94532,-399643536,2390,18,1,1,1,2
94531700,94532,-299643557,2390,18,1,1,1,2
94531800,94532,-199643578,2390,18,1,1,1,2
94531900,94532,-99643599,2390,18,1,1,1,2
94532000,94532,356380,2390,18,1,1,1,2
94532200,94532,200356338,2390,18,1,1,1,2
94532300,94532,300356317,2390,18,1,1,1,2
94532400,94532,400356295,2390,18,1,1,1,2
94532500,94533,-499643726,2390,18,1,1,1,2
94532600,94533,-399643747,2390,18,1,1,1,2
94532700,94533,-299643768,2390,18,1,1,1,2
94532800,94533,-199643789,2390,18,1,1,1,2
94532900,94533,-99643810,2390,18,1,1,1,2
94533000,94533,356169,2390,18,1,1,1,2
94533100,94533,100356148,2390,18,1,1,1,2
94533200,94533,200356127,2390,18,1,1,1,2
94533300,94533,300356106,2390,18,1,1,1,2
94533400,94533,400356085,2390,18,1,1,1,2
94533500,94534,-499643936,2390,18,1,1,1,2
94533600,94534,-399643957,2390,18,1,1,1,2
94533700,94534,-299643978,2390,18,1,1,1,2
94533800,94534,-199643999,2390,18,1,1,1,2
94533900,94534,-99644020,2390,18,1,1,1,2
94534000,94534,355959,2390,18,1,1,1,2
94534100,94534,100355938,2390,18,1,1,1,2
94534200,94534,200355917,2390,18,1,1,1,2
94534300,94534,300355895,2390,18,1,1,1,2
94534400,94534,400355874,2390,18,1,1,1,2
94534500,94535,-499644147,2390,18,1,1,1,2
94534600,94535,-399644168,2390,18,1,1,1,2
94534700,94535,-299644189,2390,18,1,1,1,2
94534800,94535,-199644210,2390,18,1,1,1,2
94534900,94535,-99644231,2390,18,1,1,1,2
94535000,94535,355747,2390,18,1,1,1,2
94535100,94535,100355726,2390,18,1,1,1,2
94535200,94535,200355705,2390,18,1,1,1,2
94535300,94535,300355684,2390,18,1,1,1,2
94535400,94535,400355663,2390,18,1,1,1,2
94535500,94536,-499644358,2390,18,1,1,1,2
94535600,94536,-399644380,2390,18,1,1,1,2
94535700,94536,-299644401,2390,18,1,1,1,2
94535800,94536,-199644422,2390,18,1,1,1,2
94535900,94536,-99644443,2390,18,1,1,1,2
94536000,94536,355536,2390,18,1,1,1,2
94536200,94536,200355494,2390,18,1,1,1,2
94536300,94536,300355473,2390,18,1,1,1,2
94536400,94536,400355452,2390,18,1,1,1,2
94536500,94537,-499644569,2390,18,1,1,1,2
94536600,94537,-399644591,2390,18,1,1,1,2
94536700,94537,-299644612,2390,18,1,1,1,2
94536800,94537,-199644633,2390,18,1,1,1,2
94536900,94537,-99644654,2390,18,1,1,1,2
94537000,94537,355325,2390,18,1,1,1,2
94537100,94537,100355304,2390,18,1,1,1,2
94537200,94537,200355283,2390,18,1,1,1,2
94537300,94537,300355262,2390,18,1,1,1,2
94537400,94537,400355241,2390,18,1,1,1,2
94537500,94538,-499644781,2390,18,1,1,1,2
94537600,94538,-399644802,2390,18,1,1,1,2
94537700,94538,-299644823,2390,18,1,1,1,2
94537800,94538,-199644844,2390,18,1,1,1,2
94537900,94538,-99644865,2390,18,1,1,1,2
94538000,94538,355114,2390,18,1,1,1,2
94538200,94538,200355071,2390,18,1,1,1,2
94538300,94538,300355050,2390,18,1,1,1,2
94538400,94538,400355029,2390,18,1,1,1,2
94538500,94539,-499644992,2390,18,1,1,1,2
94538600,94539,-399645013,2390,18,1,1,1,2
94538700,94539,-299645034,2390,18,1,1,1,2
94538800,94539,-199645055,2390,18,1,1,1,2
94538900,94539,-99645077,2390,18,1,1,1,2
94539000,94539,354902,2390,18,1,1,1,2
94539100,94539,100354881,2390,18,1,1,1,2
94539200,94539,200354860,2390,18,1,1,1,2
94539300,94539,300354839,2390,18,1,1,1,2
94539400,94539,400354818,2390,18,1,1,1,2
94539500,94540,-499645203,2390,18,1,1,1,2
94539600,94540,-399645224,2390,18,1,1,1,2
94539700,94540,-299645245,2390,18,1,1,1,2
94539800,94540,-199645267,2390,18,1,1,1,2
94539900,94540,-99645288,2390,18,1,1,1,2
94540000,94540,354691,2390,18,1,1,1,2
94540200,94540,200354649,2390,18,1,1,1,2
94540300,94540,300354628,2390,18,1,1,1,2
94540400,94540,400354607,2390,18,1,1,1,2
94540500,94541,-499645414,2390,18,1,1,1,2
94540600,94541,-399645436,2390,18,1,1,1,2
94540700,94541,-299645457,2390,18,1,1,1,2
94540800,94541,-199645478,2390,18,1,1,1,2
94540900,94541,-99645499,2390,18,1,1,1,2
94541000,94541,354480,2390,18,1,1,1,2
94541100,94541,100354459,2390,18,1,1,1,2
94541200,94541,200354438,2390,18,1,1,1,2
94541300,94541,300354417,2390,18,1,1,1,2
94541400,94541,400354396,2390,18,1,1,1,2
94541600,94542,-399645647,2390,18,1,1,1,2
94541700,94542,-299645668,2390,18,1,1,1,2
94541800,94542,-199645689,2390,18,1,1,1,2
94541900,94542,-99645710,2390,18,1,1,1,2
94542000,94542,354269,2390,18,1,1,1,2
94542100,94542,100354248,2390,18,1,1,1,2
94542200,94542,200354227,2390,18,1,1,1,2
94542300,94542,300354206,2390,18,1,1,1,2
94542400,94542,400354185,2390,18,1,1,1,2
94542500,94543,-499645836,2390,18,1,1,1,2
94542600,94543,-399645857,2390,18,1,1,1,2
94542700,94543,-299645878,2390,18,1,1,1,2
94542800,94543,-199645899,2390,18,1,1,1,2
94542900,94543,-99645920,2390,18,1,1,1,2
94543000,94543,354059,2390,18,1,1,1,2
94543200,94543,200354016,2390,18,1,1,1,2
94543300,94543,300353995,2390,18,1,1,1,2
94543400,94543,400353974,2390,18,1,1,1,2
94543500,94544,-499646047,2390,18,1,1,1,2
94543600,94544,-399646069,2390,18,1,1,1,2
94543700,94544,-299646090,2390,18,1,1,1,2
94543800,94544,-199646111,2390,18,1,1,1,2
94543900,94544,-99646132,2390,18,1,1,1,2
94544000,94544,353846,2390,18,1,1,1,2
94544200,94544,200353804,2390,18,1,1,1,2
94544300,94544,300353783,2390,18,1,1,1,2
94544400,94544,400353762,2390,18,1,1,1,2
94544500,94545,-499646259,2390,18,1,1,1,2
94544600,94545,-399646280,2390,18,1,1,1,2
94544700,94545,-299646301,2390,18,1,1,1,2
94544800,94545,-199646322,2390,18,1,1,1,2
94544900,94545,-99646343,2390,18,1,1,1,2
94545000,94545,353635,2390,18,1,1,1,2
94545100,94545,100353614,2390,18,1,1,1,2
94545200,94545,200353593,2390,18,1,1,1,2
94545400,94545,400353551,2390,18,1,1,1,2
94545500,94546,-499646470,2390,18,1,1,1,2
94545600,94546,-399646491,2390,18,1,1,1,2
94545700,94546,-299646513,2390,18,1,1,1,2
94545800,94546,-199646534,2390,18,1,1,1,2
94545900,94546,-99646555,2390,18,1,1,1,2
94546000,94546,353424,2390,18,1,1,1,2
94546200,94546,200353382,2390,18,1,1,1,2
94546300,94546,300353361,2390,18,1,1,1,2
94546400,94546,400353339,2390,18,1,1,1,2
94546500,94547,-499646682,2390,18,1,1,1,2
94546600,94547,-399646703,2390,18,1,1,1,2
94546700,94547,-299646724,2390,18,1,1,1,2
94546800,94547,-199646745,2390,18,1,1,1,2
94546900,94547,-99646766,2390,18,1,1,1,2
94547000,94547,353212,2390,18,1,1,1,2
94547200,94547,200353170,2390,18,1,1,1,2
94547300,94547,300353149,2390,18,1,1,1,2
94547400,94547,400353128,2390,18,1,1,1,2
94547500,94548,-499646894,2390,18,1,1,1,2
94547600,94548,-399646915,2390,18,1,1,1,2
94547700,94548,-299646936,2390,18,1,1,1,2
94547800,94548,-199646957,2390,18,1,1,1,2
94547900,94548,-99646978,2390,18,1,1,1,2
