iTOW,clkB,clkD,tAcc,fAcc
94519400,640978,211,2,138
94519500,640999,211,2,162
94519600,641020,211,2,146
94519700,641042,212,2,163
94519800,641063,212,2,179
94519900,641084,212,2,178
94520000,641105,211,2,180
94520100,641127,211,2,169
94520200,641148,211,2,160
94520300,641169,211,2,164
94520400,641190,210,2,150
94520500,641211,210,2,165
94520600,641232,211,2,178
94520700,641254,211,2,189
94520800,641275,212,2,194
94520900,641296,212,2,201
94521000,641317,211,2,200
94521100,641339,211,2,176
94521200,641360,211,2,166
94521300,641381,211,2,162
94521400,641402,211,2,158
94521500,641423,211,2,172
94521600,641445,209,2,173
94521700,641466,209,2,172
94521800,641487,210,2,168
94521900,641508,210,2,148
94522000,641529,210,2,150
94522100,641550,210,2,153
94522200,641571,211,2,151
94522300,641592,211,2,159
94522400,641613,210,2,164
94522500,641634,210,2,161
94522600,641655,210,2,160
94522700,641676,210,2,151
94522800,641697,210,2,149
94522900,641719,211,2,135
94523000,641740,210,2,140
94523100,641761,209,2,139
94523200,641782,209,2,165
94523300,641803,209,2,171
94523400,641824,210,2,176
94523500,641845,211,2,192
94523600,641866,212,2,196
94523700,641887,211,2,177
94523800,641908,210,2,165
94523900,641929,209,2,152
94524000,641950,209,2,178
94524100,641971,209,2,194
94524200,641992,210,2,188
94524300,642013,211,2,176
94524400,642034,211,2,170
94524500,642055,211,2,173
94524600,642076,210,2,189
94524700,642097,210,2,182
94524800,642118,212,2,161
94524900,642140,216,2,183
94525000,642161,217,2,209
94525100,642183,219,2,248
94525200,642205,212,2,259
94525300,642225,206,2,286
94525400,642246,208,2,274
94525500,642267,212,2,264
94525600,642288,212,2,252
94525700,642309,210,2,235
94525800,642330,209,2,226
94525900,642351,210,2,247
94526000,642372,211,2,235
94526100,642393,213,2,229
94526200,642415,213,2,208
94526300,642436,211,2,196
94526400,642457,210,2,202
94526500,642478,210,2,238
94526600,642499,211,2,236
94526700,642520,212,2,222
94526800,642541,211,2,223
94526900,642562,210,2,228
94527000,642584,210,2,235
94527100,642605,212,2,261
94527200,642626,212,2,257
94527300,642647,212,2,241
94527400,642668,211,2,238
94527500,642689,210,2,224
94527600,642710,210,2,224
94527700,642731,211,2,208
94527800,642752,211,2,203
94527900,642773,210,2,192
94528000,642794,210,2,190
94528100,642815,211,2,182
94528200,642836,211,2,190
94528300,642858,211,2,186
94528400,642879,212,2,196
94528500,642900,213,2,209
94528600,642921,211,2,204
94528700,642942,210,2,199
94528800,642963,212,2,193
94528900,642985,213,2,192
94529000,643006,212,2,188
94529100,643027,210,2,193
94529200,643048,210,2,203
94529300,643069,211,2,201
94529400,643090,211,2,191
94529500,643111,212,2,206
94529600,643132,213,2,192
94529700,643154,213,2,200
94529800,643175,211,2,182
94529900,643196,210,2,175
94530000,643217,211,2,201
94530200,643259,211,2,188
94530300,643280,211,2,188
94530400,643301,211,2,175
94530500,643322,211,2,183
94530600,643343,212,2,192
94530700,643364,212,2,203
94530800,643386,213,2,205
94530900,643407,213,2,213
94531000,643428,212,2,223
94531100,643449,210,2,216
94531200,643470,211,2,212
94531300,643491,211,2,196
94531400,643512,212,2,184
94531500,643534,212,2,175
94531600,643555,211,2,179
94531700,643576,210,2,191
94531800,643597,211,2,199
94531900,643618,212,2,200
94532000,643639,212,2,213
94532200,643681,210,2,218
94532300,643702,210,2,225
94532400,643723,211,2,220
94532500,643744,211,2,198
94532600,643765,211,2,190
94532700,643786,210,2,194
94532800,643807,210,2,190
94532900,643828,210,2,202
94533000,643849,211,2,210
94533100,643870,212,2,212
94533200,643892,213,2,222
94533300,643913,212,2,246
94533400,643934,210,2,237
94533500,643955,210,2,226
94533600,643976,210,2,214
94533700,643997,211,2,231
94533800,644018,211,2,223
94533900,644039,210,2,211
94534000,644060,210,2,201
94534100,644081,210,2,234
94534200,644102,211,2,247
94534300,644123,212,2,231
94534400,644144,211,1,222
94534500,644165,212,1,221
94534600,644186,211,2,224
94534700,644208,211,1,189
94534800,644229,213,1,199
94534900,644250,213,2,190
94535000,644271,212,2,205
94535100,644293,213,2,201
94535200,644314,212,2,201
94535300,644335,209,2,194
94535400,644356,210,2,195
94535500,644377,212,1,202
94535600,644398,213,1,214
94535700,644419,212,1,196
94535800,644440,211,1,193
94535900,644461,210,1,186
94536000,644483,211,1,198
94536200,644525,212,2,197
94536300,644546,211,2,196
94536400,644567,210,1,202
94536500,644588,211,2,207
94536600,644609,211,1,223
94536700,644630,212,1,245
94536800,644651,213,1,230
94536900,644673,211,1,223
94537000,644694,210,1,207
94537100,644715,211,2,203
94537200,644736,211,2,197
94537300,644757,212,1,185
94537400,644778,212,1,171
94537500,644799,212,1,176
94537600,644820,211,2,185
94537700,644841,210,1,189
94537800,644862,211,1,195
94537900,644883,212,1,213
94538000,644905,213,1,225
94538200,644947,212,2,235
94538300,644968,211,2,224
94538400,644989,212,2,212
94538500,645011,212,2,183
94538600,645032,212,1,171
94538700,645053,212,2,185
94538800,645074,212,1,185
94538900,645095,211,1,178
94539000,645116,210,1,179
94539100,645137,211,1,182
94539200,645158,212,1,179
94539300,645180,212,2,185
94539400,645201,211,1,181
94539500,645222,211,1,170
94539600,645243,211,2,172
94539700,645264,212,2,179
94539800,645285,212,2,187
94539900,645306,212,2,196
94540000,645327,212,2,197
94540200,645370,211,2,217
94540300,645391,211,1,244
94540400,645412,212,1,236
94540500,645433,212,1,219
94540600,645454,212,1,227
94540700,645475,211,1,232
94540800,645496,211,1,235
94540900,645517,212,2,230
94541000,645538,212,2,214
94541100,645560,211,2,198
94541200,645581,211,2,191
94541300,645602,211,1,202
94541400,645623,211,2,214
94541600,645665,212,1,228
94541700,645686,212,1,222
94541800,645707,211,1,203
94541900,645728,210,1,182
94542000,645749,211,1,190
94542100,645770,212,2,190
94542200,645791,211,1,167
94542300,645812,211,2,170
94542400,645833,210,1,189
94542500,645854,210,1,207
94542600,645875,211,2,206
94542700,645896,212,1,201
94542800,645918,213,1,190
94542900,645939,212,1,185
94543000,645960,212,1,175
94543200,646002,212,1,197
94543300,646023,212,1,202
94543400,646045,212,1,193
94543500,646066,212,1,206
94543600,646087,211,1,237
94543700,646108,211,1,257
94543800,646129,214,1,242
94543900,646151,214,1,254
94544000,646172,212,1,252
94544200,646214,210,1,222
94544300,646235,209,1,188
94544400,646256,211,1,184
94544500,646277,212,1,181
94544600,646299,212,2,186
94544700,646320,212,1,190
94544800,646341,210,1,205
94544900,646362,212,1,208
94545000,646383,214,1,201
94545100,646405,214,1,203
94545200,646426,210,1,194
94545400,646468,210,1,175
94545500,646489,211,1,185
94545600,646510,213,1,200
94545700,646531,213,1,192
94545800,646552,211,1,198
94545900,646573,210,1,196
94546000,646595,212,1,201
94546200,646637,211,1,202
94546300,646658,212,1,218
94546400,646679,213,1,194
94546500,646700,211,1,189
94546600,646722,211,1,195
94546700,646743,212,1,188
94546800,646764,212,1,187
94546900,646785,212,1,199
94547000,646806,211,1,193
94547200,646848,212,1,206
94547300,646870,212,1,205
94547400,646891,213,1,219
94547500,646912,211,1,204
94547600,646933,212,1,197
94547700,646955,212,1,186
94547800,646976,211,1,177
94547900,646997,213,1,185
94548000,647018,214,1,203
94548200,647061,211,1,231
94548300,647082,214,1,227
94548400,647103,214,1,210
94548500,647125,218,1,211
94548600,647146,214,1,199
94548700,647168,213,1,192
94548800,647189,215,1,185
94548900,647211,217,1,178
94549000,647232,212,1,188
94549200,647275,214,1,199
94549300,647296,212,1,208
94549400,647318,211,1,226
94549500,647339,212,1,228
94549600,647360,210,1,226
94549700,647381,210,1,223
94549800,647402,211,1,213
94549900,647423,212,1,203
94550000,647445,213,1,201
94550200,647487,212,1,211
94550300,647508,211,1,224
94550400,647529,211,1,237
94550500,647550,212,1,247
94550600,647571,211,1,222
94550700,647592,211,1,215
94550800,647614,213,1,218
94550900,647635,211,1,217
94551000,647656,209,1,197
94551100,647677,210,1,198
94551200,647698,212,1,195
94551300,647719,211,1,199
94551400,647740,211,1,192
94551500,647761,210,1,218
94551600,647782,211,1,217
94551700,647804,211,1,207
94551800,647825,215,1,194
94551900,647847,216,1,201
94552000,647868,211,1,194
94552200,647910,209,1,189
94552300,647931,210,1,193
94552400,647952,212,1,183
94552500,647973,212,1,190
94552600,647995,210,1,202
94552700,648016,209,1,210
94552800,648037,210,1,212
94552900,648058,213,1,198
94553000,648079,212,1,187
94553100,648100,212,1,191
94553200,648121,210,1,180
94553300,648142,209,1,187
94553400,648164,211,1,196
94553500,648185,212,1,196
94553600,648206,211,1,182
94553700,648227,210,1,184
94553800,648248,212,1,181
94553900,648270,213,1,196
94554000,648291,216,1,209
94554200,648334,211,2,199
94554300,648355,208,2,204
94554400,648376,209,1,189
94554500,648397,212,1,205
94554600,648418,213,1,201
94554700,648439,211,1,196
94554800,648460,211,1,191
94554900,648482,211,1,210
94555000,648503,210,1,217
94555100,648524,214,2,211
94555200,648545,215,1,221
94555300,648567,211,1,219
94555400,648588,210,1,213
94555500,648609,211,1,190
94555600,648630,212,2,195
94555700,648652,214,1,188
94555800,648673,214,2,204
94555900,648694,211,1,208
94556000,648716,212,1,212
94556200,648758,212,1,207
94556300,648779,212,2,191
94556400,648800,212,2,207
94556500,648822,213,2,200
94556600,648843,211,2,198
94556700,648864,211,2,201
94556800,648885,211,2,209
94556900,648906,212,2,190
94557000,648928,212,1,191
94557200,648970,210,1,194
94557300,648991,210,2,211
94557400,649012,211,2,203
94557500,649033,212,2,189
94557600,649055,212,1,185
94557700,649076,211,1,168
94557800,649097,211,1,178
94557900,649118,210,2,213
94558000,649139,211,2,198
94558100,649161,212,2,218
94558200,649182,212,2,234
94558300,649203,210,1,220
94558400,649224,210,2,234
94558500,649245,211,2,227
94558600,649266,212,2,210
94558700,649288,212,2,190
94558800,649309,212,2,185
94558900,649330,211,2,192
94559000,649351,211,2,186
94559100,649372,211,2,190
94559200,649394,212,2,216
94559300,649415,211,2,218
94559400,649436,211,2,217
94559500,649457,210,2,260
94559600,649478,210,2,254
94559700,649499,211,2,231
94559800,649520,212,2,219
94559900,649542,211,2,213
94560000,649563,210,2,206
94560200,649605,211,2,196
94560300,649626,211,2,191
94560400,649647,211,2,197
94560500,649668,211,2,225
94560600,649690,210,2,222
94560700,649711,211,2,204
94560800,649732,212,2,217
94560900,649753,212,2,202
94561000,649775,212,2,207
94561100,649796,210,2,221
94561200,649817,210,2,221
94561300,649838,211,2,206
94561400,649859,212,2,221
94561500,649881,211,2,257
94561600,649902,209,2,244
94561700,649923,210,2,263
94561800,649944,211,2,268
94561900,649965,212,2,260
94562000,649987,212,2,254
94562100,650008,211,2,233
94562200,650029,210,2,237
94562300,650050,210,2,244
94562400,650071,211,2,236
94562500,650092,211,2,262
94562600,650114,211,2,270
94562700,650135,210,2,279
94562800,650156,211,2,289
94562900,650177,211,2,272
94563000,650198,212,2,277
94563100,650220,211,2,281
94563200,650241,211,2,279
94563300,650262,211,2,277
94563400,650284,210,2,252
94563500,650305,211,2,264
94563600,650326,211,2,273
94563700,650347,211,2,279
94563800,650369,210,2,288
94563900,650390,211,2,272
94564000,650411,211,2,246
94564100,650432,212,2,259
94564200,650454,212,2,236
94564300,650475,211,2,262
94564400,650496,210,2,281
94564500,650517,211,2,275
94564600,650538,211,2,301
94564700,650560,211,2,300
94564800,650581,210,2,305
94564900,650602,210,2,313
94565000,650623,210,2,305
94565100,650644,211,2,289
94565200,650665,212,2,274
94565300,650686,212,2,262
94565400,650708,211,2,253
94565500,650729,210,2,252
94565600,650750,211,2,264
94565700,650771,211,2,269
94565800,650792,211,2,296
94565900,650813,210,2,288
94566000,650834,209,2,286
94566100,650855,210,2,297
94566200,650877,212,2,289
94566300,650898,212,2,275
94566400,650919,212,2,235
94566500,650940,211,2,230
94566600,650961,211,2,242
94566700,650983,211,2,231
94566800,651004,211,2,246
94566900,651025,211,2,266
94567000,651046,211,2,256
94567100,651067,210,2,280
94567200,651088,211,2,279
94567300,651110,212,2,272
94567400,651131,212,2,257
94567500,651152,212,2,244
94567600,651173,211,2,235
94567700,651194,211,2,242
94567800,651215,211,2,254
94567900,651237,212,2,254
94568000,651258,212,2,288
94568100,651279,212,2,296
94568200,651300,211,2,310
94568300,651321,212,2,315
94568400,651342,213,2,310
94568500,651364,213,2,292
94568600,651385,213,2,262
94568700,651406,212,2,251
94568800,651427,211,2,238
94568900,651448,211,2,245
94569000,651470,212,2,256
94569100,651491,213,2,279
94569200,651512,211,2,305
94569300,651533,210,2,309
94569400,651554,211,2,321
94569500,651575,212,2,292
94569600,651596,213,2,276
94569700,651618,213,2,287
94569800,651639,212,2,277
94569900,651660,211,2,250
94570000,651681,211,2,244
94570100,651703,213,2,246
94570200,651724,213,2,275
94570300,651745,212,2,296
94570400,651766,211,2,311
94570500,651787,211,2,316
94570600,651809,212,2,297
94570700,651830,213,2,280
94570800,651851,213,2,265
94570900,651872,212,2,259
94571000,651894,210,2,264
94571100,651915,211,2,248
94571200,651936,213,2,270
94571300,651957,213,2,272
94571400,651978,212,2,262
94571500,652000,210,2,285
94571600,652021,211,2,267
94571700,652042,213,2,262
94571800,652063,213,2,256
94571900,652085,214,2,237
94572000,652106,212,2,231
94572100,652127,211,2,225
94572200,652148,211,2,204
94572300,652169,213,2,221
94572400,652191,213,2,226
94572500,652212,212,2,224
94572600,652233,211,2,252
94572700,652254,211,2,261
94572800,652276,212,2,259
94572900,652297,212,2,253
94573000,652318,212,2,239
94573100,652339,213,2,249
94573200,652360,212,2,229
94573300,652382,211,2,229
94573400,652403,211,2,226
94573500,652424,213,2,236
94573600,652445,213,2,253
94573700,652466,212,2,251
94573800,652487,211,2,218
94573900,652509,212,2,210
94574000,652530,213,2,211
94574100,652551,214,2,211
94574200,652572,214,2,237
94574300,652594,212,2,240
94574400,652615,210,2,230
94574500,652636,211,2,216
94574600,652657,213,2,232
94574700,652678,213,2,224
94574800,652700,212,2,227
94574900,652721,211,2,193
94575000,652742,212,2,189
94575100,652763,214,2,195
94575200,652785,216,2,211
94575300,652806,213,2,229
94575400,652827,211,2,207
94575500,652848,211,2,201
94575600,652870,212,2,192
94575700,652891,212,2,201
94575800,652912,211,2,188
94575900,652933,212,2,208
94576000,652954,211,2,211
94576100,652975,212,2,195
94576200,652997,212,2,205
94576300,653018,212,2,208
94576400,653039,212,2,211
94576500,653060,211,2,224
94576600,653081,212,2,197
94576700,653102,212,2,193
94576800,653123,211,2,186
94576900,653144,212,2,186
94577000,653166,212,2,219
94577100,653187,212,2,231
94577200,653208,212,2,246
94577300,653229,212,2,257
94577400,653250,212,2,245
94577500,653271,212,2,249
94577600,653293,211,2,252
94577700,653314,211,2,246
94577800,653335,211,2,247
94577900,653356,212,2,245
94578000,653377,212,2,235
94578100,653398,211,2,220
94578200,653419,211,2,224
94578300,653441,212,6,228
94578400,653462,213,4,224
94578500,653484,212,3,232
94578600,653505,212,3,233
94578700,653526,210,3,234
94578800,653547,210,3,236
94578900,653568,211,2,213
94579000,653589,213,2,238
94579100,653611,215,2,218
94579200,653632,211,6,218
94579300,653653,210,4,258
94579400,653674,210,3,275
94579500,653695,211,3,254
94579600,653716,212,3,241
94579700,653737,212,3,262
94579800,653759,212,2,272
94579900,653780,212,2,275
94580000,653801,210,2,264
94580100,653822,210,2,259
94580200,653843,211,2,261
94580300,653864,212,2,265
94580400,653886,211,2,259
94580500,653907,210,2,252
94580600,653928,210,2,251
94580700,653949,212,2,247
94580800,653970,213,2,253
94580900,653991,213,2,230
94581000,654012,210,2,217
94581100,654033,209,2,220
94581200,654054,209,2,208
94581300,654075,209,2,194
94581400,654096,211,2,185
94581500,654117,213,2,188
94581600,654138,212,2,179
94581700,654160,214,2,171
94581800,654181,213,2,183
94581900,654202,211,2,189
94582000,654223,208,2,213
94582100,654244,209,2,210
94582200,654265,209,2,182
94582300,654286,208,2,169
94582400,654307,212,2,168
94582500,654328,212,2,178
94582600,654349,209,2,178
94582700,654370,207,2,181
94582800,654390,208,2,184
94582900,654411,210,2,176
94583000,654432,211,2,179
94583100,654454,211,2,191
94583200,654475,210,2,217
94583300,654496,210,2,221
94583400,654517,209,2,211
94583500,654538,210,2,231
94583600,654559,211,2,220
94583700,654580,212,2,201
94583800,654601,211,2,194
94583900,654622,209,2,193
94584000,654643,211,2,218
94584100,654664,212,2,235
94584200,654685,212,2,230
94584300,654706,211,2,223
94584400,654727,209,2,246
94584500,654748,210,2,221
94584600,654769,213,2,204
94584700,654791,213,2,207
94584800,654812,211,2,206
94584900,654833,211,2,208
94585000,654854,210,2,208
94585100,654875,210,2,197
94585200,654896,211,2,200
94585300,654917,211,2,203
94585400,654938,210,2,214
94585500,654959,210,2,223
94585600,654980,211,2,211
94585700,655001,211,2,207
94585800,655022,211,2,208
94585900,655043,209,2,184
94586000,655064,209,2,183
94586100,655085,210,2,200
94586200,655106,211,2,210
94586300,655127,210,2,211
94586400,655148,209,2,226
94586500,655169,209,2,236
94586600,655190,209,2,242
94586700,655211,211,2,234
94586800,655232,212,2,230
94586900,655253,211,2,224
94587000,655274,209,2,234
94587100,655295,208,2,203
94587200,655316,210,2,198
94587300,655337,212,2,214
94587400,655358,213,2,219
94587500,655379,210,2,230
94587600,655400,208,2,231
94587700,655421,211,2,212
94587800,655442,215,2,221
94587900,655464,214,2,217
94588000,655485,207,2,229
94588200,655526,207,2,207
94588300,655547,211,2,193
94588400,655568,212,2,205
94588500,655589,211,2,238
94588600,655610,208,2,249
94588700,655631,208,2,250
94588800,655652,211,2,252
94588900,655673,214,2,240
94589000,655695,217,2,269
94589100,655716,213,2,252
94589200,655738,210,2,266
94589300,655759,210,2,240
94589400,655780,211,2,228
94589500,655801,209,2,219
94589600,655821,209,2,231
94589700,655842,208,2,235
94589800,655863,208,2,236
94589900,655884,212,2,242
94590000,655906,216,2,242
94590200,655948,213,2,229
94590300,655969,205,2,224
94590400,655990,206,2,218
94590500,656011,212,2,213
94590600,656032,221,2,220
94590700,656054,220,2,296
94590800,656076,207,2,394
94590900,656096,202,2,325
94591000,656117,206,2,218
94591100,656138,212,2,254
94591200,656159,216,2,243
94591300,656180,212,2,244
94591400,656201,207,2,243
94591500,656222,209,2,230
94591600,656243,214,2,213
94591700,656264,218,2,212
94591800,656286,214,2,198
94591900,656307,209,2,205
94592000,656328,208,2,226
94592100,656349,212,2,236
94592200,656370,217,2,240
94592300,656392,213,2,243
94592400,656413,210,2,230
94592500,656433,207,2,238
94592600,656454,210,2,224
94592700,656476,217,2,218
94592800,656497,216,2,217
94592900,656518,205,2,206
94593000,656538,202,2,199
94593100,656559,207,2,198
94593200,656580,211,2,185
94593300,656601,216,2,189
94593400,656623,214,2,210
94593500,656643,208,2,235
94593600,656664,205,2,234
94593700,656685,206,2,215
94593800,656705,209,2,221
94593900,656726,210,2,218
94594000,656747,210,2,209
94594100,656768,208,2,215
94594200,656789,208,2,211
94594300,656810,208,2,194
94594400,656831,212,2,179
94594500,656852,214,2,202
94594600,656873,211,2,225
94594700,656894,206,2,224
94594800,656914,207,2,235
94594900,656935,210,2,239
94595000,656956,213,2,221
94595100,656977,211,2,219
94595200,656998,210,2,227
94595300,657019,207,2,216
94595400,657040,209,2,214
94595500,657061,216,2,227
94595600,657083,211,2,211
94595700,657103,209,2,223
94595800,657124,208,2,209
94595900,657145,207,2,205
94596000,657166,210,2,223
94596100,657187,209,2,197
94596200,657207,208,2,219
94596300,657228,208,2,224
94596400,657249,207,2,221
94596500,657270,207,2,245
94596600,657291,209,2,232
94596700,657312,214,2,229
94596800,657333,216,2,242
94596900,657354,209,2,237
94597000,657375,204,2,226
94597100,657396,207,2,218
94597200,657417,214,2,218
94597300,657438,212,2,223
94597400,657459,209,2,240
94597500,657480,208,2,243
94597600,657500,207,2,228
94597700,657521,208,2,233
94597800,657542,209,2,234
94597900,657563,211,2,241
94598000,657584,210,2,237
94598100,657605,209,2,231
94598200,657626,207,2,224
94598300,657647,208,2,205
94598400,657668,209,2,208
94598500,657688,210,2,224
94598600,657709,209,2,216
94598700,657730,208,2,250
94598800,657751,208,2,287
94598900,657772,208,2,272
94599000,657793,211,2,262
94599100,657814,211,2,250
94599200,657835,209,2,226
94599300,657856,208,2,231
94599400,657877,209,2,206
