iTOW,SOW,fSOW,week,leapS,sowValid,weekValid,leapSValid,tAcc
94492700,94479,-299635328,1034,4,1,1,1,2
94492800,94479,-199635349,1034,4,1,1,1,2
94492900,94479,-99635370,1034,4,1,1,1,2
94493000,94479,364609,1034,4,1,1,1,2
94493100,94479,100364587,1034,4,1,1,1,2
94493200,94479,200364566,1034,4,1,1,1,2
94493300,94479,300364545,1034,4,1,1,1,2
94493400,94479,400364524,1034,4,1,1,1,2
94493500,94480,-499635498,1034,4,1,1,1,2
94493600,94480,-399635519,1034,4,1,1,1,2
94493700,94480,-299635540,1034,4,1,1,1,2
94493800,94480,-199635562,1034,4,1,1,1,2
94493900,94480,-99635583,1034,4,1,1,1,2
94494000,94480,364396,1034,4,1,1,1,2
94494100,94480,100364374,1034,4,1,1,1,2
94494200,94480,200364353,1034,4,1,1,1,2
94494300,94480,300364332,1034,4,1,1,1,2
94494400,94480,400364311,1034,4,1,1,1,2
94494500,94481,-499635710,1034,4,1,1,1,2
94494600,94481,-399635732,1034,4,1,1,1,2
94494700,94481,-299635753,1034,4,1,1,1,2
94494800,94481,-199635774,1034,4,1,1,1,2
94494900,94481,-99635794,1034,4,1,1,1,2
94495000,94481,364185,1034,4,1,1,1,2
94495100,94481,100364164,1034,4,1,1,1,2
94495200,94481,200364143,1034,4,1,1,1,2
94495300,94481,300364122,1034,4,1,1,1,2
94495400,94481,400364101,1034,4,1,1,1,2
94495500,94482,-499635920,1034,4,1,1,1,2
94495600,94482,-399635941,1034,4,1,1,1,2
94495700,94482,-299635962,1034,4,1,1,1,2
94495800,94482,-199635983,1034,4,1,1,1,2
94495900,94482,-99636004,1034,4,1,1,1,2
94496000,94482,363975,1034,4,1,1,1,2
94496100,94482,100363954,1034,4,1,1,1,2
94496200,94482,200363932,1034,4,1,1,1,2
94496300,94482,300363911,1034,4,1,1,1,2
94496400,94482,400363890,1034,4,1,1,1,2
94496500,94483,-499636131,1034,4,1,1,1,1
94496600,94483,-399636152,1034,4,1,1,1,1
94496700,94483,-299636173,1034,4,1,1,1,1
94496800,94483,-199636194,1034,4,1,1,1,1
94496900,94483,-99636215,1034,4,1,1,1,1
94497000,94483,363764,1034,4,1,1,1,1
94497100,94483,100363743,1034,4,1,1,1,1
94497200,94483,200363722,1034,4,1,1,1,1
94497300,94483,300363701,1034,4,1,1,1,1
94497400,94483,400363680,1034,4,1,1,1,1
94497500,94484,-499636341,1034,4,1,1,1,1
94497600,94484,-399636363,1034,4,1,1,1,1
94497700,94484,-299636384,1034,4,1,1,1,1
94497800,94484,-199636405,1034,4,1,1,1,1
94497900,94484,-99636426,1034,4,1,1,1,2
94498000,94484,363553,1034,4,1,1,1,1
94498100,94484,100363531,1034,4,1,1,1,1
94498200,94484,200363510,1034,4,1,1,1,1
94498300,94484,300363489,1034,4,1,1,1,1
94498400,94484,400363468,1034,4,1,1,1,1
94498500,94485,-499636553,1034,4,1,1,1,1
94498600,94485,-399636574,1034,4,1,1,1,1
94498700,94485,-299636595,1034,4,1,1,1,1
94498800,94485,-199636616,1034,4,1,1,1,1
94498900,94485,-99636638,1034,4,1,1,1,1
94499000,94485,363340,1034,4,1,1,1,1
94499100,94485,100363319,1034,4,1,1,1,2
94499200,94485,200363298,1034,4,1,1,1,1
94499300,94485,300363277,1034,4,1,1,1,1
94499400,94485,400363256,1034,4,1,1,1,2
94499500,94486,-499636765,1034,4,1,1,1,2
94499600,94486,-399636786,1034,4,1,1,1,2
94499700,94486,-299636807,1034,4,1,1,1,2
94499800,94486,-199636828,1034,4,1,1,1,2
94499900,94486,-99636850,1034,4,1,1,1,2
94500000,94486,363129,1034,4,1,1,1,2
94500100,94486,100363108,1034,4,1,1,1,2
94500200,94486,200363087,1034,4,1,1,1,2
94500300,94486,300363066,1034,4,1,1,1,2
94500400,94486,400363044,1034,4,1,1,1,2
94500500,94487,-499636977,1034,4,1,1,1,2
94500600,94487,-399636998,1034,4,1,1,1,2
94500700,94487,-299637019,1034,4,1,1,1,1
94500800,94487,-199637040,1034,4,1,1,1,1
94500900,94487,-99637061,1034,4,1,1,1,1
94501000,94487,362917,1034,4,1,1,1,2
94501100,94487,100362896,1034,4,1,1,1,1
94501200,94487,200362875,1034,4,1,1,1,1
94501300,94487,300362854,1034,4,1,1,1,1
94501400,94487,400362833,1034,4,1,1,1,1
94501500,94488,-499637188,1034,4,1,1,1,1
94501600,94488,-399637210,1034,4,1,1,1,1
94501700,94488,-299637231,1034,4,1,1,1,2
94501800,94488,-199637252,1034,4,1,1,1,1
94501900,94488,-99637274,1034,4,1,1,1,1
94502000,94488,362705,1034,4,1,1,1,1
94502100,94488,100362688,1034,4,1,1,1,5
94502200,94488,200362666,1034,4,1,1,1,4
94502300,94488,300362645,1034,4,1,1,1,3
94502400,94488,400362623,1034,4,1,1,1,3
94502500,94489,-499637398,1034,4,1,1,1,2
94502600,94489,-399637419,1034,4,1,1,1,2
94502700,94489,-299637440,1034,4,1,1,1,2
94502800,94489,-199637462,1034,4,1,1,1,2
94502900,94489,-99637483,1034,4,1,1,1,2
94503000,94489,362495,1034,4,1,1,1,2
94503100,94489,100362474,1034,4,1,1,1,2
94503200,94489,200362453,1034,4,1,1,1,2
94503300,94489,300362432,1034,4,1,1,1,2
94503400,94489,400362411,1034,4,1,1,1,2
94503500,94490,-499637610,1034,4,1,1,1,2
94503600,94490,-399637631,1034,4,1,1,1,2
94503700,94490,-299637652,1034,4,1,1,1,2
94503800,94490,-199637674,1034,4,1,1,1,2
94503900,94490,-99637695,1034,4,1,1,1,2
94504000,94490,362284,1034,4,1,1,1,2
94504100,94490,100362263,1034,4,1,1,1,2
94504200,94490,200362242,1034,4,1,1,1,2
94504300,94490,300362220,1034,4,1,1,1,2
94504400,94490,400362199,1034,4,1,1,1,2
94504500,94491,-499637822,1034,4,1,1,1,2
94504600,94491,-399637843,1034,4,1,1,1,2
94504700,94491,-299637865,1034,4,1,1,1,2
94504800,94491,-199637886,1034,4,1,1,1,2
94504900,94491,-99637907,1034,4,1,1,1,2
94505000,94491,362072,1034,4,1,1,1,2
94505100,94491,100362051,1034,4,1,1,1,2
94505200,94491,200362030,1034,4,1,1,1,2
94505300,94491,300362009,1034,4,1,1,1,2
94505400,94491,400361988,1034,4,1,1,1,2
94505500,94492,-499638033,1034,4,1,1,1,2
94505600,94492,-399638054,1034,4,1,1,1,2
94505700,94492,-299638075,1034,4,1,1,1,2
94505800,94492,-199638096,1034,4,1,1,1,2
94505900,94492,-99638117,1034,4,1,1,1,2
94506000,94492,361863,1034,4,1,1,1,2
94506200,94492,200361821,1034,4,1,1,1,2
94506400,94492,400361779,1034,4,1,1,1,2
94506500,94493,-499638242,1034,4,1,1,1,2
94506600,94493,-399638263,1034,4,1,1,1,2
94506700,94493,-299638284,1034,4,1,1,1,2
94506800,94493,-199638305,1034,4,1,1,1,2
94506900,94493,-99638326,1034,4,1,1,1,2
94507000,94493,361653,1034,4,1,1,1,2
94507100,94493,100361632,1034,4,1,1,1,2
94507200,94493,200361611,1034,4,1,1,1,2
94507400,94493,400361568,1034,4,1,1,1,2
94507600,94494,-399638474,1034,4,1,1,1,2
94507700,94494,-299638495,1034,4,1,1,1,2
94507800,94494,-199638516,1034,4,1,1,1,2
94507900,94494,-99638537,1034,4,1,1,1,2
94508000,94494,361441,1034,4,1,1,1,2
94508100,94494,100361420,1034,4,1,1,1,2
94508200,94494,200361399,1034,4,1,1,1,2
94508300,94494,300361378,1034,4,1,1,1,2
94508400,94494,400361356,1034,4,1,1,1,2
94508500,94495,-499638665,1034,4,1,1,1,2
94508600,94495,-399638686,1034,4,1,1,1,2
94508700,94495,-299638707,1034,4,1,1,1,2
94508800,94495,-199638728,1034,4,1,1,1,2
94508900,94495,-99638750,1034,4,1,1,1,2
94509000,94495,361229,1034,4,1,1,1,1
94509200,94495,200361187,1034,4,1,1,1,2
94509400,94495,400361144,1034,4,1,1,1,2
94509600,94496,-399638898,1034,4,1,1,1,2
94509700,94496,-299638920,1034,4,1,1,1,2
94509900,94496,-99638962,1034,4,1,1,1,2
94510100,94496,100360995,1034,4,1,1,1,2
94510300,94496,300360953,1034,4,1,1,1,2
94510400,94496,400360931,1034,4,1,1,1,2
94510500,94497,-499639090,1034,4,1,1,1,2
94510600,94497,-399639111,1034,4,1,1,1,2
94510700,94497,-299639133,1034,4,1,1,1,2
94510800,94497,-199639154,1034,4,1,1,1,2
94510900,94497,-99639175,1034,4,1,1,1,2
94511000,94497,360803,1034,4,1,1,1,2
94511100,94497,100360782,1034,4,1,1,1,2
94511200,94497,200360761,1034,4,1,1,1,2
94511300,94497,300360740,1034,4,1,1,1,2
94511400,94497,400360718,1034,4,1,1,1,2
94511500,94498,-499639303,1034,4,1,1,1,2
94511600,94498,-399639324,1034,4,1,1,1,2
94511700,94498,-299639345,1034,4,1,1,1,2
94511900,94498,-99639388,1034,4,1,1,1,2
94512000,94498,360591,1034,4,1,1,1,2
94512200,94498,200360549,1034,4,1,1,1,2
94512300,94498,300360528,1034,4,1,1,1,2
94512400,94498,400360506,1034,4,1,1,1,2
94512600,94499,-399639536,1034,4,1,1,1,2
94512700,94499,-299639557,1034,4,1,1,1,2
94512900,94499,-99639599,1034,4,1,1,1,2
94513000,94499,360380,1034,4,1,1,1,2
94513200,94499,200360337,1034,4,1,1,1,2
94513300,94499,300360316,1034,4,1,1,1,2
94513400,94499,400360294,1034,4,1,1,1,2
94513500,94500,-499639727,1034,4,1,1,1,2
94513600,94500,-399639748,1034,4,1,1,1,2
94513700,94500,-299639769,1034,4,1,1,1,2
94513900,94500,-99639811,1034,4,1,1,1,2
94514000,94500,360167,1034,4,1,1,1,2
94514200,94500,200360125,1034,4,1,1,1,2
94514400,94500,400360083,1034,4,1,1,1,2
94514500,94501,-499639939,1034,4,1,1,1,2
94514700,94501,-299639981,1034,4,1,1,1,2
94514900,94501,-99640023,1034,4,1,1,1,2
94515000,94501,359956,1034,4,1,1,1,2
94515200,94501,200359913,1034,4,1,1,1,2
94515300,94501,300359892,1034,4,1,1,1,2
94515400,94501,400359871,1034,4,1,1,1,2
94515500,94502,-499640151,1034,4,1,1,1,2
94515700,94502,-299640193,1034,4,1,1,1,2
94515900,94502,-99640235,1034,4,1,1,1,2
94516000,94502,359743,1034,4,1,1,1,2
94516200,94502,200359701,1034,4,1,1,1,2
94516400,94502,400359658,1034,4,1,1,1,2
94516500,94503,-499640363,1034,4,1,1,1,2
94516600,94503,-399640384,1034,4,1,1,1,2
94516700,94503,-299640406,1034,4,1,1,1,2
94516800,94503,-199640427,1034,4,1,1,1,2
94516900,94503,-99640448,1034,4,1,1,1,2
94517100,94503,100359510,1034,4,1,1,1,2
94517300,94503,300359467,1034,4,1,1,1,2
94517400,94503,400359446,1034,4,1,1,1,2
94517500,94504,-499640575,1034,4,1,1,1,2
94517600,94504,-399640597,1034,4,1,1,1,2
94517700,94504,-299640618,1034,4,1,1,1,2
94517800,94504,-199640639,1034,4,1,1,1,2
94518000,94504,359319,1034,4,1,1,1,2
94518200,94504,200359276,1034,4,1,1,1,2
94518300,94504,300359255,1034,4,1,1,1,2
94518400,94504,400359234,1034,4,1,1,1,2
94518500,94505,-499640787,1034,4,1,1,1,2
94518600,94505,-399640809,1034,4,1,1,1,2
94518700,94505,-299640830,1034,4,1,1,1,2
94518800,94505,-199640851,1034,4,1,1,1,2
94518900,94505,-99640872,1034,4,1,1,1,2
94519000,94505,359107,1034,4,1,1,1,2
94519100,94505,100359085,1034,4,1,1,1,2
94519200,94505,200359064,1034,4,1,1,1,2
94519300,94505,300359043,1034,4,1,1,1,2
94519400,94505,400359022,1034,4,1,1,1,2
94519500,94506,-499640999,1034,4,1,1,1,2
94519600,94506,-399641020,1034,4,1,1,1,2
94519700,94506,-299641042,1034,4,1,1,1,2
94519800,94506,-199641063,1034,4,1,1,1,2
94519900,94506,-99641084,1034,4,1,1,1,2
94520000,94506,358895,1034,4,1,1,1,2
94520100,94506,100358873,1034,4,1,1,1,2
94520200,94506,200358852,1034,4,1,1,1,2
94520300,94506,300358831,1034,4,1,1,1,2
94520400,94506,400358810,1034,4,1,1,1,2
94520500,94507,-499641211,1034,4,1,1,1,2
94520600,94507,-399641232,1034,4,1,1,1,2
94520700,94507,-299641254,1034,4,1,1,1,2
94520800,94507,-199641275,1034,4,1,1,1,2
94520900,94507,-99641296,1034,4,1,1,1,2
94521000,94507,358683,1034,4,1,1,1,2
94521100,94507,100358661,1034,4,1,1,1,2
94521200,94507,200358640,1034,4,1,1,1,2
94521300,94507,300358619,1034,4,1,1,1,2
94521400,94507,400358598,1034,4,1,1,1,2
94521500,94508,-499641423,1034,4,1,1,1,2
94521600,94508,-399641444,1034,4,1,1,1,2
94521700,94508,-299641466,1034,4,1,1,1,2
94521800,94508,-199641487,1034,4,1,1,1,2
94521900,94508,-99641508,1034,4,1,1,1,2
94522000,94508,358471,1034,4,1,1,1,2
94522100,94508,100358450,1034,4,1,1,1,2
94522200,94508,200358429,1034,4,1,1,1,2
94522300,94508,300358408,1034,4,1,1,1,2
94522400,94508,400358387,1034,4,1,1,1,2
94522500,94509,-499641634,1034,4,1,1,1,2
94522600,94509,-399641655,1034,4,1,1,1,2
94522700,94509,-299641676,1034,4,1,1,1,2
94522800,94509,-199641697,1034,4,1,1,1,2
94522900,94509,-99641719,1034,4,1,1,1,2
94523000,94509,358260,1034,4,1,1,1,2
94523100,94509,100358239,1034,4,1,1,1,2
94523200,94509,200358218,1034,4,1,1,1,2
94523300,94509,300358197,1034,4,1,1,1,2
94523400,94509,400358176,1034,4,1,1,1,2
94523500,94510,-499641845,1034,4,1,1,1,2
94523600,94510,-399641866,1034,4,1,1,1,2
94523700,94510,-299641887,1034,4,1,1,1,2
94523800,94510,-199641908,1034,4,1,1,1,2
94523900,94510,-99641929,1034,4,1,1,1,2
94524000,94510,358050,1034,4,1,1,1,2
94524100,94510,100358029,1034,4,1,1,1,2
94524200,94510,200358008,1034,4,1,1,1,2
94524300,94510,300357987,1034,4,1,1,1,2
94524400,94510,400357966,1034,4,1,1,1,2
94524500,94511,-499642055,1034,4,1,1,1,2
94524600,94511,-399642076,1034,4,1,1,1,2
94524700,94511,-299642097,1034,4,1,1,1,2
94524800,94511,-199642118,1034,4,1,1,1,2
94524900,94511,-99642140,1034,4,1,1,1,2
94525000,94511,357839,1034,4,1,1,1,2
94525100,94511,100357817,1034,4,1,1,1,2
94525200,94511,200357795,1034,4,1,1,1,2
94525300,94511,300357775,1034,4,1,1,1,2
94525400,94511,400357754,1034,4,1,1,1,2
94525500,94512,-499642267,1034,4,1,1,1,2
94525600,94512,-399642288,1034,4,1,1,1,2
94525700,94512,-299642309,1034,4,1,1,1,2
94525800,94512,-199642330,1034,4,1,1,1,2
94525900,94512,-99642351,1034,4,1,1,1,2
94526000,94512,357628,1034,4,1,1,1,2
94526100,94512,100357607,1034,4,1,1,1,2
94526200,94512,200357585,1034,4,1,1,1,2
94526300,94512,300357564,1034,4,1,1,1,2
94526400,94512,400357543,1034,4,1,1,1,2
94526500,94513,-499642478,1034,4,1,1,1,2
94526600,94513,-399642499,1034,4,1,1,1,2
94526700,94513,-299642520,1034,4,1,1,1,2
94526800,94513,-199642541,1034,4,1,1,1,2
94526900,94513,-99642562,1034,4,1,1,1,2
94527000,94513,357416,1034,4,1,1,1,2
94527100,94513,100357395,1034,4,1,1,1,2
94527200,94513,200357374,1034,4,1,1,1,2
94527300,94513,300357353,1034,4,1,1,1,2
94527400,94513,400357332,1034,4,1,1,1,2
94527500,94514,-499642689,1034,4,1,1,1,2
94527600,94514,-399642710,1034,4,1,1,1,2
94527700,94514,-299642731,1034,4,1,1,1,2
94527800,94514,-199642752,1034,4,1,1,1,2
94527900,94514,-99642773,1034,4,1,1,1,2
94528000,94514,357206,1034,4,1,1,1,2
94528100,94514,100357185,1034,4,1,1,1,2
94528200,94514,200357164,1034,4,1,1,1,2
94528300,94514,300357142,1034,4,1,1,1,2
94528400,94514,400357121,1034,4,1,1,1,2
94528500,94515,-499642900,1034,4,1,1,1,2
94528600,94515,-399642921,1034,4,1,1,1,2
94528700,94515,-299642942,1034,4,1,1,1,2
94528800,94515,-199642963,1034,4,1,1,1,2
94528900,94515,-99642985,1034,4,1,1,1,2
94529000,94515,356994,1034,4,1,1,1,2
94529100,94515,100356973,1034,4,1,1,1,2
94529200,94515,200356952,1034,4,1,1,1,2
94529300,94515,300356931,1034,4,1,1,1,2
94529400,94515,400356910,1034,4,1,1,1,2
94529500,94516,-499643111,1034,4,1,1,1,2
94529600,94516,-399643132,1034,4,1,1,1,2
94529700,94516,-299643154,1034,4,1,1,1,2
94529800,94516,-199643175,1034,4,1,1,1,2
94529900,94516,-99643196,1034,4,1,1,1,2
94530000,94516,356783,1034,4,1,1,1,2
94530200,94516,200356741,1034,4,1,1,1,2
94530300,94516,300356720,1034,4,1,1,1,2
94530400,94516,400356699,1034,4,1,1,1,2
94530500,94517,-499643322,1034,4,1,1,1,2
94530600,94517,-399643343,1034,4,1,1,1,2
94530700,94517,-299643364,1034,4,1,1,1,2
94530800,94517,-199643386,1034,4,1,1,1,2
94530900,94517,-99643407,1034,4,1,1,1,2
94531000,94517,356572,1034,4,1,1,1,2
94531100,94517,100356551,1034,4,1,1,1,2
94531200,94517,200356530,1034,4,1,1,1,2
94531300,94517,300356509,1034,4,1,1,1,2
94531400,94517,400356488,1034,4,1,1,1,2
94531500,94518,-499643534,1034,4,1,1,1,2
94531600,94518,-399643555,1034,4,1,1,1,2
94531700,94518,-299643576,1034,4,1,1,1,2
94531800,94518,-199643597,1034,4,1,1,1,2
94531900,94518,-99643618,1034,4,1,1,1,2
94532000,94518,356361,1034,4,1,1,1,2
94532200,94518,200356319,1034,4,1,1,1,2
94532300,94518,300356298,1034,4,1,1,1,2
94532400,94518,400356277,1034,4,1,1,1,2
94532500,94519,-499643744,1034,4,1,1,1,2
94532600,94519,-399643765,1034,4,1,1,1,2
94532700,94519,-299643786,1034,4,1,1,1,2
94532800,94519,-199643807,1034,4,1,1,1,2
94532900,94519,-99643828,1034,4,1,1,1,2
94533000,94519,356151,1034,4,1,1,1,2
94533100,94519,100356130,1034,4,1,1,1,2
94533200,94519,200356108,1034,4,1,1,1,2
94533300,94519,300356087,1034,4,1,1,1,2
94533400,94519,400356066,1034,4,1,1,1,2
94533500,94520,-499643955,1034,4,1,1,1,2
94533600,94520,-399643976,1034,4,1,1,1,2
94533700,94520,-299643997,1034,4,1,1,1,2
94533800,94520,-199644018,1034,4,1,1,1,2
94533900,94520,-99644039,1034,4,1,1,1,2
94534000,94520,355940,1034,4,1,1,1,2
94534100,94520,100355919,1034,4,1,1,1,2
94534200,94520,200355898,1034,4,1,1,1,2
94534300,94520,300355877,1034,4,1,1,1,2
94534400,94520,400355856,1034,4,1,1,1,1
94534500,94521,-499644165,1034,4,1,1,1,1
94534600,94521,-399644186,1034,4,1,1,1,2
94534700,94521,-299644208,1034,4,1,1,1,1
94534800,94521,-199644229,1034,4,1,1,1,1
94534900,94521,-99644250,1034,4,1,1,1,2
94535000,94521,355729,1034,4,1,1,1,2
94535100,94521,100355707,1034,4,1,1,1,2
94535200,94521,200355686,1034,4,1,1,1,2
94535300,94521,300355665,1034,4,1,1,1,2
94535400,94521,400355644,1034,4,1,1,1,2
94535500,94522,-499644377,1034,4,1,1,1,1
94535600,94522,-399644398,1034,4,1,1,1,1
94535700,94522,-299644419,1034,4,1,1,1,1
94535800,94522,-199644440,1034,4,1,1,1,1
94535900,94522,-99644462,1034,4,1,1,1,1
94536000,94522,355517,1034,4,1,1,1,1
94536200,94522,200355475,1034,4,1,1,1,2
94536300,94522,300355454,1034,4,1,1,1,2
94536400,94522,400355433,1034,4,1,1,1,1
94536500,94523,-499644588,1034,4,1,1,1,2
94536600,94523,-399644609,1034,4,1,1,1,1
94536700,94523,-299644630,1034,4,1,1,1,1
94536800,94523,-199644651,1034,4,1,1,1,1
94536900,94523,-99644673,1034,4,1,1,1,1
94537000,94523,355306,1034,4,1,1,1,1
94537100,94523,100355285,1034,4,1,1,1,2
94537200,94523,200355264,1034,4,1,1,1,2
94537300,94523,300355243,1034,4,1,1,1,1
94537400,94523,400355222,1034,4,1,1,1,1
94537500,94524,-499644799,1034,4,1,1,1,1
94537600,94524,-399644820,1034,4,1,1,1,2
94537700,94524,-299644841,1034,4,1,1,1,1
94537800,94524,-199644862,1034,4,1,1,1,1
94537900,94524,-99644883,1034,4,1,1,1,1
94538000,94524,355095,1034,4,1,1,1,1
94538200,94524,200355053,1034,4,1,1,1,2
94538300,94524,300355032,1034,4,1,1,1,2
94538400,94524,400355011,1034,4,1,1,1,2
94538500,94525,-499645011,1034,4,1,1,1,2
94538600,94525,-399645032,1034,4,1,1,1,1
94538700,94525,-299645053,1034,4,1,1,1,2
94538800,94525,-199645074,1034,4,1,1,1,1
94538900,94525,-99645095,1034,4,1,1,1,1
94539000,94525,354884,1034,4,1,1,1,1
94539100,94525,100354863,1034,4,1,1,1,1
94539200,94525,200354842,1034,4,1,1,1,1
94539300,94525,300354820,1034,4,1,1,1,2
94539400,94525,400354799,1034,4,1,1,1,1
94539500,94526,-499645222,1034,4,1,1,1,1
94539600,94526,-399645243,1034,4,1,1,1,2
94539700,94526,-299645264,1034,4,1,1,1,2
94539800,94526,-199645285,1034,4,1,1,1,2
94539900,94526,-99645306,1034,4,1,1,1,2
94540000,94526,354673,1034,4,1,1,1,2
94540200,94526,200354630,1034,4,1,1,1,2
94540300,94526,300354609,1034,4,1,1,1,1
94540400,94526,400354588,1034,4,1,1,1,1
94540500,94527,-499645433,1034,4,1,1,1,1
94540600,94527,-399645454,1034,4,1,1,1,1
94540700,94527,-299645475,1034,4,1,1,1,1
94540800,94527,-199645496,1034,4,1,1,1,1
94540900,94527,-99645517,1034,4,1,1,1,2
94541000,94527,354462,1034,4,1,1,1,2
94541100,94527,100354440,1034,4,1,1,1,2
94541200,94527,200354419,1034,4,1,1,1,2
94541300,94527,300354398,1034,4,1,1,1,1
94541400,94527,400354377,1034,4,1,1,1,2
94541600,94528,-399645665,1034,4,1,1,1,1
94541700,94528,-299645686,1034,4,1,1,1,1
94541800,94528,-199645707,1034,4,1,1,1,1
94541900,94528,-99645728,1034,4,1,1,1,1
94542000,94528,354251,1034,4,1,1,1,1
94542100,94528,100354230,1034,4,1,1,1,2
94542200,94528,200354209,1034,4,1,1,1,1
94542300,94528,300354188,1034,4,1,1,1,2
94542400,94528,400354167,1034,4,1,1,1,1
94542500,94529,-499645854,1034,4,1,1,1,1
94542600,94529,-399645875,1034,4,1,1,1,2
94542700,94529,-299645896,1034,4,1,1,1,1
94542800,94529,-199645918,1034,4,1,1,1,1
94542900,94529,-99645939,1034,4,1,1,1,1
94543000,94529,354040,1034,4,1,1,1,1
94543200,94529,200353998,1034,4,1,1,1,1
94543300,94529,300353977,1034,4,1,1,1,1
94543400,94529,400353955,1034,4,1,1,1,1
94543500,94530,-499646066,1034,4,1,1,1,1
94543600,94530,-399646087,1034,4,1,1,1,1
94543700,94530,-299646108,1034,4,1,1,1,1
94543800,94530,-199646129,1034,4,1,1,1,1
94543900,94530,-99646151,1034,4,1,1,1,1
94544000,94530,353828,1034,4,1,1,1,1
94544200,94530,200353786,1034,4,1,1,1,1
94544300,94530,300353765,1034,4,1,1,1,1
94544400,94530,400353744,1034,4,1,1,1,1
94544500,94531,-499646277,1034,4,1,1,1,1
94544600,94531,-399646299,1034,4,1,1,1,2
94544700,94531,-299646320,1034,4,1,1,1,1
94544800,94531,-199646341,1034,4,1,1,1,1
94544900,94531,-99646362,1034,4,1,1,1,1
94545000,94531,353617,1034,4,1,1,1,1
94545100,94531,100353595,1034,4,1,1,1,1
94545200,94531,200353574,1034,4,1,1,1,1
94545400,94531,400353532,1034,4,1,1,1,1
94545500,94532,-499646489,1034,4,1,1,1,1
94545600,94532,-399646510,1034,4,1,1,1,1
94545700,94532,-299646531,1034,4,1,1,1,1
94545800,94532,-199646552,1034,4,1,1,1,1
94545900,94532,-99646573,1034,4,1,1,1,1
94546000,94532,353405,1034,4,1,1,1,1
94546200,94532,200353363,1034,4,1,1,1,1
94546300,94532,300353342,1034,4,1,1,1,1
94546400,94532,400353321,1034,4,1,1,1,1
94546500,94533,-499646700,1034,4,1,1,1,1
94546600,94533,-399646722,1034,4,1,1,1,1
94546700,94533,-299646743,1034,4,1,1,1,1
94546800,94533,-199646764,1034,4,1,1,1,1
94546900,94533,-99646785,1034,4,1,1,1,1
94547000,94533,353194,1034,4,1,1,1,1
94547200,94533,200353152,1034,4,1,1,1,1
94547300,94533,300353130,1034,4,1,1,1,1
94547400,94533,400353109,1034,4,1,1,1,1
94547500,94534,-499646912,1034,4,1,1,1,1
94547600,94534,-399646933,1034,4,1,1,1,1
94547700,94534,-299646955,1034,4,1,1,1,1
94547800,94534,-199646976,1034,4,1,1,1,1
94547900,94534,-99646997,1034,4,1,1,1,1
94548000,94534,352982,1034,4,1,1,1,1
94548200,94534,200352939,1034,4,1,1,1,1
