iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
94497300,94497,300363721,1366,18,1,1,1,2
94497400,94497,400363700,1366,18,1,1,1,2
94497500,94498,-499636321,1366,18,1,1,1,2
94497600,94498,-399636342,1366,18,1,1,1,2
94497700,94498,-299636364,1366,18,1,1,1,2
94497800,94498,-199636385,1366,18,1,1,1,2
94497900,94498,-99636406,1366,18,1,1,1,2
94498000,94498,363573,1366,18,1,1,1,2
94498100,94498,100363552,1366,18,1,1,1,2
94498200,94498,200363531,1366,18,1,1,1,2
94498300,94498,300363510,1366,18,1,1,1,2
94498400,94498,400363488,1366,18,1,1,1,2
94498500,94499,-499636533,1366,18,1,1,1,2
94498600,94499,-399636554,1366,18,1,1,1,2
94498700,94499,-299636575,1366,18,1,1,1,2
94498800,94499,-199636596,1366,18,1,1,1,2
94498900,94499,-99636618,1366,18,1,1,1,2
94499000,94499,363361,1366,18,1,1,1,2
94499100,94499,100363339,1366,18,1,1,1,2
94499200,94499,200363318,1366,18,1,1,1,2
94499300,94499,300363297,1366,18,1,1,1,2
94499400,94499,400363276,1366,18,1,1,1,2
94499500,94500,-499636745,1366,18,1,1,1,2
94499600,94500,-399636766,1366,18,1,1,1,2
94499700,94500,-299636787,1366,18,1,1,1,2
94499800,94500,-199636808,1366,18,1,1,1,2
94499900,94500,-99636830,1366,18,1,1,1,2
94500000,94500,363149,1366,18,1,1,1,2
94500100,94500,100363128,1366,18,1,1,1,2
94500200,94500,200363107,1366,18,1,1,1,2
94500300,94500,300363086,1366,18,1,1,1,2
94500400,94500,400363065,1366,18,1,1,1,2
94500500,94501,-499636957,1366,18,1,1,1,2
94500600,94501,-399636978,1366,18,1,1,1,2
94500700,94501,-299636999,1366,18,1,1,1,2
94500800,94501,-199637020,1366,18,1,1,1,2
94500900,94501,-99637041,1366,18,1,1,1,2
94501000,94501,362938,1366,18,1,1,1,2
94501100,94501,100362916,1366,18,1,1,1,2
94501200,94501,200362895,1366,18,1,1,1,2
94501300,94501,300362874,1366,18,1,1,1,2
94501400,94501,400362853,1366,18,1,1,1,2
94501500,94502,-499637168,1366,18,1,1,1,2
94501600,94502,-399637189,1366,18,1,1,1,2
94501700,94502,-299637211,1366,18,1,1,1,2
94501800,94502,-199637232,1366,18,1,1,1,2
94501900,94502,-99637253,1366,18,1,1,1,2
94502000,94502,362725,1366,18,1,1,1,2
94502100,94502,100362709,1366,18,1,1,1,5
94502200,94502,200362686,1366,18,1,1,1,4
94502300,94502,300362665,1366,18,1,1,1,3
94502400,94502,400362644,1366,18,1,1,1,3
94502500,94503,-499637378,1366,18,1,1,1,3
94502600,94503,-399637399,1366,18,1,1,1,3
94502700,94503,-299637420,1366,18,1,1,1,2
94502800,94503,-199637442,1366,18,1,1,1,2
94502900,94503,-99637463,1366,18,1,1,1,2
94503000,94503,362516,1366,18,1,1,1,2
94503100,94503,100362494,1366,18,1,1,1,2
94503200,94503,200362473,1366,18,1,1,1,2
94503300,94503,300362452,1366,18,1,1,1,2
94503400,94503,400362431,1366,18,1,1,1,2
94503500,94504,-499637590,1366,18,1,1,1,2
94503600,94504,-399637611,1366,18,1,1,1,2
94503700,94504,-299637632,1366,18,1,1,1,2
94503800,94504,-199637653,1366,18,1,1,1,2
94503900,94504,-99637674,1366,18,1,1,1,2
94504000,94504,362304,1366,18,1,1,1,2
94504100,94504,100362283,1366,18,1,1,1,2
94504200,94504,200362262,1366,18,1,1,1,2
94504300,94504,300362241,1366,18,1,1,1,2
94504400,94504,400362220,1366,18,1,1,1,2
94504500,94505,-499637802,1366,18,1,1,1,2
94504600,94505,-399637823,1366,18,1,1,1,2
94504700,94505,-299637844,1366,18,1,1,1,2
94504800,94505,-199637865,1366,18,1,1,1,2
94504900,94505,-99637887,1366,18,1,1,1,2
94505000,94505,362092,1366,18,1,1,1,2
94505100,94505,100362071,1366,18,1,1,1,2
94505200,94505,200362050,1366,18,1,1,1,2
94505300,94505,300362029,1366,18,1,1,1,2
94505400,94505,400362008,1366,18,1,1,1,2
94505500,94506,-499638013,1366,18,1,1,1,2
94505600,94506,-399638034,1366,18,1,1,1,2
94505700,94506,-299638054,1366,18,1,1,1,2
94505800,94506,-199638075,1366,18,1,1,1,2
94505900,94506,-99638096,1366,18,1,1,1,2
94506000,94506,361883,1366,18,1,1,1,2
94506200,94506,200361841,1366,18,1,1,1,2
94506400,94506,400361799,1366,18,1,1,1,2
94506500,94507,-499638221,1366,18,1,1,1,2
94506600,94507,-399638242,1366,18,1,1,1,2
94506700,94507,-299638263,1366,18,1,1,1,2
94506800,94507,-199638284,1366,18,1,1,1,2
94506900,94507,-99638306,1366,18,1,1,1,2
94507000,94507,361673,1366,18,1,1,1,2
94507100,94507,100361652,1366,18,1,1,1,2
94507200,94507,200361631,1366,18,1,1,1,2
94507400,94507,400361589,1366,18,1,1,1,2
94507600,94508,-399638454,1366,18,1,1,1,2
94507700,94508,-299638475,1366,18,1,1,1,2
94507800,94508,-199638496,1366,18,1,1,1,2
94507900,94508,-99638517,1366,18,1,1,1,2
94508000,94508,361462,1366,18,1,1,1,2
94508100,94508,100361440,1366,18,1,1,1,2
94508200,94508,200361419,1366,18,1,1,1,2
94508300,94508,300361398,1366,18,1,1,1,2
94508400,94508,400361376,1366,18,1,1,1,2
94508500,94509,-499638645,1366,18,1,1,1,2
94508600,94509,-399638666,1366,18,1,1,1,2
94508700,94509,-299638687,1366,18,1,1,1,2
94508800,94509,-199638708,1366,18,1,1,1,2
94508900,94509,-99638729,1366,18,1,1,1,2
94509000,94509,361249,1366,18,1,1,1,2
94509200,94509,200361207,1366,18,1,1,1,2
94509400,94509,400361164,1366,18,1,1,1,2
94509600,94510,-399638878,1366,18,1,1,1,2
94509700,94510,-299638900,1366,18,1,1,1,2
94509900,94510,-99638942,1366,18,1,1,1,2
94510100,94510,100361015,1366,18,1,1,1,2
94510300,94510,300360973,1366,18,1,1,1,2
94510400,94510,400360952,1366,18,1,1,1,2
94510500,94511,-499639070,1366,18,1,1,1,2
94510600,94511,-399639091,1366,18,1,1,1,2
94510700,94511,-299639113,1366,18,1,1,1,2
94510800,94511,-199639134,1366,18,1,1,1,2
94510900,94511,-99639155,1366,18,1,1,1,2
94511000,94511,360824,1366,18,1,1,1,2
94511100,94511,100360802,1366,18,1,1,1,2
94511200,94511,200360781,1366,18,1,1,1,2
94511300,94511,300360760,1366,18,1,1,1,2
94511400,94511,400360739,1366,18,1,1,1,2
94511500,94512,-499639283,1366,18,1,1,1,2
94511600,94512,-399639304,1366,18,1,1,1,2
94511700,94512,-299639325,1366,18,1,1,1,2
94511900,94512,-99639367,1366,18,1,1,1,2
94512000,94512,360611,1366,18,1,1,1,2
94512200,94512,200360569,1366,18,1,1,1,2
94512300,94512,300360548,1366,18,1,1,1,2
94512400,94512,400360527,1366,18,1,1,1,2
94512600,94513,-399639516,1366,18,1,1,1,2
94512700,94513,-299639537,1366,18,1,1,1,2
94512900,94513,-99639579,1366,18,1,1,1,2
94513000,94513,360400,1366,18,1,1,1,2
94513200,94513,200360357,1366,18,1,1,1,2
94513300,94513,300360336,1366,18,1,1,1,2
94513400,94513,400360315,1366,18,1,1,1,2
94513500,94514,-499639706,1366,18,1,1,1,2
94513600,94514,-399639728,1366,18,1,1,1,2
94513700,94514,-299639749,1366,18,1,1,1,2
94513900,94514,-99639791,1366,18,1,1,1,2
94514000,94514,360188,1366,18,1,1,1,2
94514200,94514,200360145,1366,18,1,1,1,2
94514400,94514,400360103,1366,18,1,1,1,2
94514500,94515,-499639918,1366,18,1,1,1,2
94514700,94515,-299639961,1366,18,1,1,1,2
94514900,94515,-99640003,1366,18,1,1,1,2
94515000,94515,359976,1366,18,1,1,1,2
94515200,94515,200359933,1366,18,1,1,1,2
94515300,94515,300359912,1366,18,1,1,1,2
94515400,94515,400359891,1366,18,1,1,1,2
94515500,94516,-499640130,1366,18,1,1,1,2
94515700,94516,-299640173,1366,18,1,1,1,2
94515900,94516,-99640215,1366,18,1,1,1,2
94516000,94516,359764,1366,18,1,1,1,2
94516200,94516,200359721,1366,18,1,1,1,2
94516400,94516,400359679,1366,18,1,1,1,2
94516500,94517,-499640343,1366,18,1,1,1,2
94516600,94517,-399640364,1366,18,1,1,1,2
94516700,94517,-299640385,1366,18,1,1,1,2
94516800,94517,-199640407,1366,18,1,1,1,2
94516900,94517,-99640428,1366,18,1,1,1,2
94517100,94517,100359530,1366,18,1,1,1,2
94517300,94517,300359488,1366,18,1,1,1,2
94517400,94517,400359466,1366,18,1,1,1,2
94517500,94518,-499640555,1366,18,1,1,1,2
94517600,94518,-399640576,1366,18,1,1,1,2
94517700,94518,-299640597,1366,18,1,1,1,2
94517800,94518,-199640619,1366,18,1,1,1,2
94518000,94518,359339,1366,18,1,1,1,2
94518200,94518,200359297,1366,18,1,1,1,2
94518300,94518,300359275,1366,18,1,1,1,2
94518400,94518,400359254,1366,18,1,1,1,2
94518500,94519,-499640767,1366,18,1,1,1,2
94518600,94519,-399640788,1366,18,1,1,1,2
94518700,94519,-299640810,1366,18,1,1,1,2
94518800,94519,-199640831,1366,18,1,1,1,2
94518900,94519,-99640852,1366,18,1,1,1,2
94519000,94519,359127,1366,18,1,1,1,2
94519100,94519,100359106,1366,18,1,1,1,2
94519200,94519,200359085,1366,18,1,1,1,2
94519300,94519,300359063,1366,18,1,1,1,2
94519400,94519,400359042,1366,18,1,1,1,2
94519500,94520,-499640979,1366,18,1,1,1,2
94519600,94520,-399641000,1366,18,1,1,1,2
94519700,94520,-299641021,1366,18,1,1,1,2
94519800,94520,-199641043,1366,18,1,1,1,2
94519900,94520,-99641064,1366,18,1,1,1,2
94520000,94520,358915,1366,18,1,1,1,2
94520100,94520,100358894,1366,18,1,1,1,2
94520200,94520,200358872,1366,18,1,1,1,2
94520300,94520,300358851,1366,18,1,1,1,2
94520400,94520,400358830,1366,18,1,1,1,2
94520500,94521,-499641191,1366,18,1,1,1,2
94520600,94521,-399641212,1366,18,1,1,1,2
94520700,94521,-299641233,1366,18,1,1,1,2
94520800,94521,-199641255,1366,18,1,1,1,2
94520900,94521,-99641276,1366,18,1,1,1,2
94521000,94521,358703,1366,18,1,1,1,2
94521100,94521,100358682,1366,18,1,1,1,2
94521200,94521,200358660,1366,18,1,1,1,2
94521300,94521,300358639,1366,18,1,1,1,2
94521400,94521,400358618,1366,18,1,1,1,2
94521500,94522,-499641403,1366,18,1,1,1,2
94521600,94522,-399641424,1366,18,1,1,1,2
94521700,94522,-299641445,1366,18,1,1,1,2
94521800,94522,-199641466,1366,18,1,1,1,2
94521900,94522,-99641487,1366,18,1,1,1,2
94522000,94522,358492,1366,18,1,1,1,2
94522100,94522,100358470,1366,18,1,1,1,2
94522200,94522,200358449,1366,18,1,1,1,2
94522300,94522,300358428,1366,18,1,1,1,2
94522400,94522,400358407,1366,18,1,1,1,2
94522500,94523,-499641614,1366,18,1,1,1,2
94522600,94523,-399641635,1366,18,1,1,1,2
94522700,94523,-299641656,1366,18,1,1,1,2
94522800,94523,-199641677,1366,18,1,1,1,2
94522900,94523,-99641698,1366,18,1,1,1,2
94523000,94523,358281,1366,18,1,1,1,2
94523100,94523,100358260,1366,18,1,1,1,2
94523200,94523,200358239,1366,18,1,1,1,2
94523300,94523,300358218,1366,18,1,1,1,2
94523400,94523,400358197,1366,18,1,1,1,2
94523500,94524,-499641824,1366,18,1,1,1,2
94523600,94524,-399641846,1366,18,1,1,1,2
94523700,94524,-299641867,1366,18,1,1,1,2
94523800,94524,-199641888,1366,18,1,1,1,2
94523900,94524,-99641909,1366,18,1,1,1,2
94524000,94524,358070,1366,18,1,1,1,2
94524100,94524,100358049,1366,18,1,1,1,2
94524200,94524,200358028,1366,18,1,1,1,2
94524300,94524,300358007,1366,18,1,1,1,2
94524400,94524,400357986,1366,18,1,1,1,2
94524500,94525,-499642035,1366,18,1,1,1,2
94524600,94525,-399642056,1366,18,1,1,1,2
94524700,94525,-299642077,1366,18,1,1,1,2
94524800,94525,-199642098,1366,18,1,1,1,2
94524900,94525,-99642119,1366,18,1,1,1,2
94525000,94525,357859,1366,18,1,1,1,2
94525100,94525,100357837,1366,18,1,1,1,2
94525200,94525,200357816,1366,18,1,1,1,2
94525300,94525,300357795,1366,18,1,1,1,2
94525400,94525,400357774,1366,18,1,1,1,2
94525500,94526,-499642247,1366,18,1,1,1,2
94525600,94526,-399642268,1366,18,1,1,1,2
94525700,94526,-299642289,1366,18,1,1,1,2
94525800,94526,-199642310,1366,18,1,1,1,2
94525900,94526,-99642331,1366,18,1,1,1,2
94526000,94526,357648,1366,18,1,1,1,2
94526100,94526,100357627,1366,18,1,1,1,2
94526200,94526,200357606,1366,18,1,1,1,2
94526300,94526,300357584,1366,18,1,1,1,2
94526400,94526,400357563,1366,18,1,1,1,2
94526500,94527,-499642458,1366,18,1,1,1,2
94526600,94527,-399642479,1366,18,1,1,1,2
94526700,94527,-299642500,1366,18,1,1,1,2
94526800,94527,-199642521,1366,18,1,1,1,2
94526900,94527,-99642542,1366,18,1,1,1,2
94527000,94527,357437,1366,18,1,1,1,2
94527100,94527,100357416,1366,18,1,1,1,2
94527200,94527,200357394,1366,18,1,1,1,2
94527300,94527,300357373,1366,18,1,1,1,2
94527400,94527,400357352,1366,18,1,1,1,2
94527500,94528,-499642669,1366,18,1,1,1,2
94527600,94528,-399642690,1366,18,1,1,1,2
94527700,94528,-299642711,1366,18,1,1,1,2
94527800,94528,-199642732,1366,18,1,1,1,2
94527900,94528,-99642753,1366,18,1,1,1,2
94528000,94528,357226,1366,18,1,1,1,2
94528100,94528,100357205,1366,18,1,1,1,2
94528200,94528,200357184,1366,18,1,1,1,2
94528300,94528,300357163,1366,18,1,1,1,2
94528400,94528,400357142,1366,18,1,1,1,2
94528500,94529,-499642880,1366,18,1,1,1,2
94528600,94529,-399642901,1366,18,1,1,1,2
94528700,94529,-299642922,1366,18,1,1,1,2
94528800,94529,-199642943,1366,18,1,1,1,2
94528900,94529,-99642964,1366,18,1,1,1,2
94529000,94529,357014,1366,18,1,1,1,2
94529100,94529,100356993,1366,18,1,1,1,2
94529200,94529,200356972,1366,18,1,1,1,2
94529300,94529,300356951,1366,18,1,1,1,2
94529400,94529,400356930,1366,18,1,1,1,2
94529500,94530,-499643091,1366,18,1,1,1,2
94529600,94530,-399643112,1366,18,1,1,1,2
94529700,94530,-299643133,1366,18,1,1,1,2
94529800,94530,-199643155,1366,18,1,1,1,2
94529900,94530,-99643176,1366,18,1,1,1,2
94530000,94530,356803,1366,18,1,1,1,2
94530200,94530,200356761,1366,18,1,1,1,2
94530300,94530,300356740,1366,18,1,1,1,2
94530400,94530,400356719,1366,18,1,1,1,2
94530500,94531,-499643302,1366,18,1,1,1,2
94530600,94531,-399643323,1366,18,1,1,1,2
94530700,94531,-299643344,1366,18,1,1,1,2
94530800,94531,-199643365,1366,18,1,1,1,2
94530900,94531,-99643387,1366,18,1,1,1,2
94531000,94531,356592,1366,18,1,1,1,2
94531100,94531,100356571,1366,18,1,1,1,2
94531200,94531,200356550,1366,18,1,1,1,2
94531300,94531,300356529,1366,18,1,1,1,2
94531400,94531,400356508,1366,18,1,1,1,2
94531500,94532,-499643513,1366,18,1,1,1,2
94531600,94532,-399643534,1366,18,1,1,1,2
94531700,94532,-299643555,1366,18,1,1,1,2
94531800,94532,-199643576,1366,18,1,1,1,2
94531900,94532,-99643597,1366,18,1,1,1,2
94532000,94532,356381,1366,18,1,1,1,2
94532200,94532,200356339,1366,18,1,1,1,2
94532300,94532,300356318,1366,18,1,1,1,2
94532400,94532,400356297,1366,18,1,1,1,2
94532500,94533,-499643724,1366,18,1,1,1,2
94532600,94533,-399643745,1366,18,1,1,1,2
94532700,94533,-299643766,1366,18,1,1,1,2
94532800,94533,-199643787,1366,18,1,1,1,2
94532900,94533,-99643808,1366,18,1,1,1,2
94533000,94533,356171,1366,18,1,1,1,2
94533100,94533,100356150,1366,18,1,1,1,2
94533200,94533,200356129,1366,18,1,1,1,2
94533300,94533,300356108,1366,18,1,1,1,2
94533400,94533,400356086,1366,18,1,1,1,2
94533500,94534,-499643934,1366,18,1,1,1,2
94533600,94534,-399643955,1366,18,1,1,1,2
94533700,94534,-299643977,1366,18,1,1,1,2
94533800,94534,-199643998,1366,18,1,1,1,2
94533900,94534,-99644019,1366,18,1,1,1,2
94534000,94534,355960,1366,18,1,1,1,2
94534100,94534,100355939,1366,18,1,1,1,2
94534200,94534,200355918,1366,18,1,1,1,2
94534300,94534,300355897,1366,18,1,1,1,2
94534400,94534,400355876,1366,18,1,1,1,2
94534500,94535,-499644145,1366,18,1,1,1,2
94534600,94535,-399644166,1366,18,1,1,1,2
94534700,94535,-299644187,1366,18,1,1,1,2
94534800,94535,-199644208,1366,18,1,1,1,2
94534900,94535,-99644230,1366,18,1,1,1,2
94535000,94535,355749,1366,18,1,1,1,2
94535100,94535,100355728,1366,18,1,1,1,2
94535200,94535,200355706,1366,18,1,1,1,2
94535300,94535,300355685,1366,18,1,1,1,2
94535400,94535,400355664,1366,18,1,1,1,2
94535500,94536,-499644357,1366,18,1,1,1,2
94535600,94536,-399644378,1366,18,1,1,1,2
94535700,94536,-299644399,1366,18,1,1,1,2
94535800,94536,-199644420,1366,18,1,1,1,2
94535900,94536,-99644441,1366,18,1,1,1,2
94536000,94536,355538,1366,18,1,1,1,2
94536200,94536,200355495,1366,18,1,1,1,2
94536300,94536,300355474,1366,18,1,1,1,2
94536400,94536,400355453,1366,18,1,1,1,2
94536500,94537,-499644568,1366,18,1,1,1,2
94536600,94537,-399644589,1366,18,1,1,1,2
94536700,94537,-299644610,1366,18,1,1,1,2
94536800,94537,-199644631,1366,18,1,1,1,2
94536900,94537,-99644652,1366,18,1,1,1,2
94537000,94537,355327,1366,18,1,1,1,2
94537100,94537,100355306,1366,18,1,1,1,2
94537200,94537,200355285,1366,18,1,1,1,2
94537300,94537,300355264,1366,18,1,1,1,2
94537400,94537,400355242,1366,18,1,1,1,2
94537500,94538,-499644779,1366,18,1,1,1,2
94537600,94538,-399644800,1366,18,1,1,1,2
94537700,94538,-299644821,1366,18,1,1,1,2
94537800,94538,-199644842,1366,18,1,1,1,2
94537900,94538,-99644863,1366,18,1,1,1,2
94538000,94538,355116,1366,18,1,1,1,2
94538200,94538,200355073,1366,18,1,1,1,2
94538300,94538,300355052,1366,18,1,1,1,2
94538400,94538,400355031,1366,18,1,1,1,2
94538500,94539,-499644990,1366,18,1,1,1,2
94538600,94539,-399645011,1366,18,1,1,1,2
94538700,94539,-299645033,1366,18,1,1,1,2
94538800,94539,-199645054,1366,18,1,1,1,2
94538900,94539,-99645075,1366,18,1,1,1,2
94539000,94539,354904,1366,18,1,1,1,2
94539100,94539,100354883,1366,18,1,1,1,2
94539200,94539,200354862,1366,18,1,1,1,2
94539300,94539,300354841,1366,18,1,1,1,2
94539400,94539,400354820,1366,18,1,1,1,2
94539500,94540,-499645202,1366,18,1,1,1,2
94539600,94540,-399645223,1366,18,1,1,1,2
94539700,94540,-299645244,1366,18,1,1,1,2
94539800,94540,-199645265,1366,18,1,1,1,2
94539900,94540,-99645286,1366,18,1,1,1,2
94540000,94540,354693,1366,18,1,1,1,2
94540200,94540,200354651,1366,18,1,1,1,2
94540300,94540,300354630,1366,18,1,1,1,2
94540400,94540,400354608,1366,18,1,1,1,2
94540500,94541,-499645413,1366,18,1,1,1,2
94540600,94541,-399645434,1366,18,1,1,1,2
94540700,94541,-299645455,1366,18,1,1,1,2
94540800,94541,-199645476,1366,18,1,1,1,2
94540900,94541,-99645497,1366,18,1,1,1,2
94541000,94541,354482,1366,18,1,1,1,2
94541100,94541,100354461,1366,18,1,1,1,2
94541200,94541,200354440,1366,18,1,1,1,2
94541300,94541,300354418,1366,18,1,1,1,2
94541400,94541,400354397,1366,18,1,1,1,2
94541600,94542,-399645645,1366,18,1,1,1,2
94541700,94542,-299645666,1366,18,1,1,1,2
94541800,94542,-199645687,1366,18,1,1,1,2
94541900,94542,-99645708,1366,18,1,1,1,2
94542000,94542,354271,1366,18,1,1,1,2
94542100,94542,100354250,1366,18,1,1,1,2
94542200,94542,200354229,1366,18,1,1,1,2
94542300,94542,300354208,1366,18,1,1,1,2
94542400,94542,400354187,1366,18,1,1,1,2
94542500,94543,-499645834,1366,18,1,1,1,2
94542600,94543,-399645855,1366,18,1,1,1,2
94542700,94543,-299645876,1366,18,1,1,1,2
94542800,94543,-199645897,1366,18,1,1,1,2
94542900,94543,-99645919,1366,18,1,1,1,2
94543000,94543,354060,1366,18,1,1,1,2
94543200,94543,200354018,1366,18,1,1,1,2
94543300,94543,300353997,1366,18,1,1,1,2
94543400,94543,400353976,1366,18,1,1,1,2
94543500,94544,-499646046,1366,18,1,1,1,2
94543600,94544,-399646067,1366,18,1,1,1,2
94543700,94544,-299646088,1366,18,1,1,1,2
94543800,94544,-199646109,1366,18,1,1,1,2
94543900,94544,-99646131,1366,18,1,1,1,2
94544000,94544,353848,1366,18,1,1,1,2
94544200,94544,200353806,1366,18,1,1,1,2
94544300,94544,300353785,1366,18,1,1,1,2
94544400,94544,400353764,1366,18,1,1,1,2
94544500,94545,-499646257,1366,18,1,1,1,2
94544600,94545,-399646278,1366,18,1,1,1,2
94544700,94545,-299646300,1366,18,1,1,1,2
94544800,94545,-199646321,1366,18,1,1,1,2
94544900,94545,-99646342,1366,18,1,1,1,2
94545000,94545,353637,1366,18,1,1,1,2
94545100,94545,100353616,1366,18,1,1,1,2
94545200,94545,200353595,1366,18,1,1,1,2
94545400,94545,400353553,1366,18,1,1,1,2
94545500,94546,-499646468,1366,18,1,1,1,2
94545600,94546,-399646490,1366,18,1,1,1,2
94545700,94546,-299646511,1366,18,1,1,1,2
94545800,94546,-199646532,1366,18,1,1,1,2
94545900,94546,-99646553,1366,18,1,1,1,2
94546000,94546,353426,1366,18,1,1,1,2
94546200,94546,200353383,1366,18,1,1,1,2
94546300,94546,300353362,1366,18,1,1,1,2
94546400,94546,400353341,1366,18,1,1,1,2
94546500,94547,-499646680,1366,18,1,1,1,2
94546600,94547,-399646701,1366,18,1,1,1,2
94546700,94547,-299646722,1366,18,1,1,1,2
94546800,94547,-199646744,1366,18,1,1,1,2
94546900,94547,-99646765,1366,18,1,1,1,2
94547000,94547,353214,1366,18,1,1,1,2
94547200,94547,200353172,1366,18,1,1,1,2
94547300,94547,300353151,1366,18,1,1,1,2
94547400,94547,400353129,1366,18,1,1,1,2
94547500,94548,-499646892,1366,18,1,1,1,2
94547600,94548,-399646913,1366,18,1,1,1,2
94547700,94548,-299646934,1366,18,1,1,1,2
94547800,94548,-199646955,1366,18,1,1,1,2
94547900,94548,-99646977,1366,18,1,1,1,2
94548000,94548,353002,1366,18,1,1,1,2
